date,orcan_start_100,invesco_start_100
2024-02-07,110.52919798874893,109.89972696752068
2024-02-08,111.36555981480561,110.75999895127975
2024-02-09,112.31642355752476,112.01456195300106
2024-02-13,112.83417135460745,112.52833578387403
2024-02-14,112.2965101807139,111.56053020554802
2024-02-15,113.13785035097325,112.22963010393
2024-02-16,113.84975357196197,112.7672998158319
2024-02-19,113.64564145965052,112.93457544535974
2024-02-20,113.84477522775924,113.20938479451972
2024-02-21,113.29715736546024,113.04211000382887
2024-02-22,113.75516503211031,113.90238193895892
2024-02-26,115.52745556827799,115.28837573701145
2024-02-27,115.44282371683178,115.50684029173053
2024-02-28,115.52745556827799,115.069912566959
2024-02-29,115.30840842335839,114.70580604821639
2024-03-01,115.53741225668344,115.00922814049126
2024-03-04,116.25927216607757,116.10154898641663
2024-03-05,116.50818937621348,116.47779231012399
2024-03-06,115.29347339075025,115.00922749212079
2024-03-07,115.21879822770946,114.86358440679388
2024-03-08,115.55234728929157,114.9728162296572
2024-03-11,114.21317269876039,113.58921036458625
2024-03-12,114.01403893065168,113.5163894577136
2024-03-13,115.60710907552148,115.0092276031775
2024-03-14,115.70169761537312,115.17914453622298
2024-03-15,115.98048489072535,115.08204966917039
2024-03-18,115.95061482550904,115.10632392590709
2024-03-19,116.41857918056455,114.41452110635353
2024-03-21,118.95255637974809,116.57488808486723
2024-03-22,120.06272713695425,118.75952946555077
2024-03-25,119.47030417683078,118.01917899607663
2024-03-26,119.26121372031662,117.69867549186877
2024-03-27,119.33091053915467,117.871254705769
2024-03-28,119.87852840145368,118.24106633770796
2024-03-29,119.96316025289988,118.3643373790077
2024-04-01,119.92831184348086,118.401317948935
2024-04-02,119.85363668044009,118.05616034691617
2024-04-03,119.16164683626226,116.97138006745966
2024-04-04,119.54995768407429,117.56307862381709
2024-04-05,118.06143276746155,116.36735513181134
