date,orcan_start_100,emaxis-sp_start_100
2023-11-29,102.39956190571016,102.44069538408837
2023-11-30,102.49912878976453,102.44925922754132
2023-12-01,103.35042564842934,103.42981930290314
2023-12-04,102.88743963757653,103.00162713025607
2023-12-05,102.86752626076567,102.97165367817075
2023-12-06,102.86752626076567,102.9973452085296
2023-12-07,102.55886892019714,102.53489766207073
2023-12-08,100.38831084781201,100.61231480688532
2023-12-11,102.27012495643947,102.54346150552367
2023-12-12,102.8725046049684,103.28423396420314
2023-12-13,103.06168168467167,103.58396848505609
2023-12-14,102.03614277891174,102.73614798321486
2023-12-15,102.79782944192762,103.03588250406783
2023-12-18,102.50410713396725,102.80894065256487
2023-12-19,103.1512918803206,103.63535154577374
2023-12-20,104.72942699258228,105.2282264280209
2023-12-21,103.25583710857768,103.29707972938256
2023-12-22,103.29566386219943,103.53258542433845
2023-12-25,103.30064220640216,103.61394193714139
2023-12-26,103.39025240205109,103.65247923267961
2023-12-27,104.19674416289142,104.47032628243555
2023-12-28,103.9727186737691,103.93080414490024
2023-12-29,104.04241549260715,103.96934144043848
2024-01-04,103.33051227161847,103.42553738117668
2024-01-05,104.40583461940558,104.23053866575319
2024-01-09,104.77423209040673,105.12974222831207
2024-01-10,105.09782446358342,105.50226941851504
2024-01-11,106.23288694180314,106.80825554508864
2024-01-12,105.95409966645093,106.49567525905626
2024-01-15,106.06362323891074,106.46998372869744
2024-01-16,106.36730223527655,107.01378778795925
2024-01-17,106.765569771494,107.73315063800635
2024-01-18,106.47184746353362,107.72886871627986
2024-01-19,107.21362074973864,108.62807227883874
2024-01-22,108.3237915069448,109.98115954440352
2024-01-23,108.48309852143177,110.18240986554765
2024-01-24,108.67725394533778,110.52068168193885
2024-01-25,108.85149599243292,110.38366018669178
2024-01-26,109.10539154677154,110.8503896548771
2024-01-29,109.6928361626923,111.18866147126832
2024-01-30,109.79240304674664,111.37278410550655
2024-01-31,109.8322298003684,111.44129485313007
2024-02-01,108.0250908547817,109.12905712083582
2024-02-02,108.77184248518942,110.2209471610859
2024-02-05,110.98720565539901,113.13265393508607
2024-02-06,110.5192413003435,112.71730752761839
2024-02-07,110.52919798874893,112.37475378950073
2024-02-08,111.36555981480561,113.5094630470155
2024-02-09,112.31642355752476,114.6398903828038
2024-02-13,112.83417135460745,115.09377408580971
2024-02-14,112.2965101807139,114.51143273100968
2024-02-15,113.13785035097325,115.47914704119209
2024-02-16,113.84975357196197,116.00154149182154
2024-02-19,113.64564145965052,115.27789672004796
2024-02-20,113.84477522775924,115.54765778881561
2024-02-21,113.29715736546024,114.69127344352145
2024-02-22,113.75516503211031,115.13659330307442
2024-02-26,115.52745556827799,117.46595872227456
2024-02-27,115.44282371683178,117.26042647940396
2024-02-28,115.52745556827799,117.33750107048041
2024-02-29,115.30840842335839,117.28611800976279
2024-03-01,115.53741225668344,117.6372355913334
2024-03-04,116.25927216607757,118.40369958037166
2024-03-05,116.50818937621348,118.53643915389227
2024-03-06,115.29347339075025,117.04633039308041
2024-03-07,115.21879822770946,116.84508007193628
2024-03-08,115.55234728929157,117.14481459278925
2024-03-11,114.21317269876039,115.56906739744797
2024-03-12,114.01403893065168,115.45773743255974
2024-03-13,115.60710907552148,117.29468185321572
2024-03-14,115.70169761537312,117.19619765350689
2024-03-15,115.98048489072535,117.6072621392481
2024-03-18,115.95061482550904,117.41885758328338
2024-03-19,116.41857918056455,118.12965658987753
2024-03-21,118.95255637974809,121.07990065941594
2024-03-22,120.06272713695425,122.11612571722188
2024-03-25,119.47030417683078,121.82067311809539
2024-03-26,119.26121372031662,121.3667894150895
2024-03-27,119.33091053915467,121.22120407638948
2024-03-28,119.87852840145368,122.24030144728954
2024-03-29,119.96316025289988,122.28740258628072
2024-04-01,119.92831184348086,122.3045302731866
2024-04-02,119.85363668044009,122.3216579600925
2024-04-03,119.16164683626226,121.31540635437183
2024-04-04,119.54995768407429,121.56803973623363
