date,emaxis-sp_start_100,rakuten-nasdaq_start_100
2025-01-20,130.3037293348712,133.65
2025-01-21,130.31910803537102,133.66
2025-01-22,130.99961553248752,133.97
2025-01-23,132.61053440984236,136.56
2025-01-24,133.17185697808534,136.71
2025-01-27,132.1837754709727,135.29
2025-01-28,129.8654363706267,130.88
2025-01-29,131.52633602460594,133.4
2025-01-30,130.13840830449828,132.29999999999998
2025-01-31,130.54594386774318,132.61
2025-02-03,130.96885813148788,133.51999999999998
2025-02-04,129.68089196462898,132.1
2025-02-05,129.54248366013073,132.66
2025-02-06,128.81968473663977,131.97
2025-02-07,128.1814686658977,131.53
2025-02-10,127.52402921953095,130.4
2025-02-12,129.53863898500578,132.77
2025-02-13,130.24990388312187,134.0
2025-02-14,130.16147635524797,134.43
2025-02-17,129.4079200307574,134.17
2025-02-18,129.20415224913495,133.95
2025-02-19,129.93848519800076,134.67
2025-02-20,129.38100730488273,133.84
2025-02-21,127.75470972702807,132.1
2025-02-25,125.26336024605922,128.14000000000001
2025-02-26,123.59477124183007,125.44
2025-02-27,123.8792772010765,125.98
2025-02-28,122.26451364859669,122.86999999999999
2025-03-03,124.9519415609381,125.61
2025-03-04,121.70703575547866,121.8
2025-03-05,120.71510957324105,121.85999999999999
2025-03-06,121.55709342560554,123.0
2025-03-07,118.45059592464438,118.63
2025-03-10,118.55824682814303,118.97
2025-03-11,114.83275663206459,113.89
2025-03-12,115.05190311418684,114.67
2025-03-13,115.79777008842753,116.14
2025-03-14,114.22914263744714,113.99
2025-03-17,117.06266820453672,117.21999999999998
2025-03-18,118.36601307189542,118.41
2025-03-19,117.23567858515955,116.57
2025-03-21,117.75470972702806,117.24000000000001
2025-03-24,118.43906189926952,118.28
2025-03-25,121.45328719723183,121.75
2025-03-26,121.04575163398692,121.78999999999999
2025-03-27,120.0,119.87
2025-03-28,120.02306805074971,119.57
2025-03-31,116.41676278354478,115.21999999999998
2025-04-01,117.30872741253364,115.44000000000001
2025-04-02,117.77008842752788,116.41
2025-04-03,116.97424067666282,115.71000000000001
2025-04-04,109.96924259900038,108.13
2025-04-07,103.23337178008458,101.39
2025-04-08,104.39830834294501,102.97
2025-04-09,101.09957708573624,99.33
2025-04-10,111.87620146097655,112.43
2025-04-11,105.5440215301807,105.25
2025-04-14,107.2241445597847,107.0
2025-04-15,108.38523644752019,107.91999999999999
2025-04-16,107.67012687427912,107.58000000000001
2025-04-17,104.96347558631297,104.02
2025-04-18,105.0557477893118,103.97000000000001
2025-04-21,104.15609381007305,103.08
2025-04-22,101.5032679738562,100.34
2025-04-23,104.89811610918878,103.81
2025-04-24,107.29334871203385,106.81
2025-04-25,109.58093041138024,109.91
2025-04-28,110.81122645136486,111.57999999999998
2025-04-30,110.68050749711648,111.36999999999999
2025-05-01,111.23029603998462,111.91
2025-05-02,114.22529796232219,115.46000000000001
2025-05-07,111.97231833910035,113.14999999999999
2025-05-08,112.94117647058823,114.07000000000001
2025-05-09,115.31718569780853,116.94
2025-05-12,115.36332179930795,117.04
2025-05-13,120.71510957324105,123.38
2025-05-14,121.12264513648596,124.85
2025-05-15,120.38831218762014,124.66999999999999
2025-05-16,119.919261822376,123.76
2025-05-19,120.65743944636678,124.2
2025-05-20,121.0957324106113,124.64
2025-05-21,119.76163014225298,123.29
2025-05-22,117.08189158016147,120.85
2025-05-23,117.48173779315647,121.50000000000001
2025-05-26,115.75163398692811,119.39999999999999
2025-05-27,115.4479046520569,119.09
2025-05-28,119.2156862745098,123.37
2025-05-29,120.19223375624759,124.51
2025-05-30,118.87351018838908,122.91000000000001
2025-06-02,118.67358708189157,122.58
2025-06-03,118.5121107266436,122.76
2025-06-04,120.1768550557478,124.75
2025-06-05,119.13110342176086,124.00999999999999
2025-06-06,119.36562860438293,123.91000000000001
2025-06-09,121.5609381007305,126.14000000000001
2025-06-10,121.52249134948096,126.19
2025-06-11,122.38754325259515,127.22
2025-06-12,121.361014994233,126.03999999999999
2025-06-13,120.94579008073818,125.42999999999999
2025-06-16,120.71510957324105,124.99
2025-06-17,122.42599000384466,127.34
2025-06-18,121.63783160322951,126.30999999999999
2025-06-19,121.23414071510959,125.93
2025-06-20,121.59554017685505,126.29999999999998
2025-06-23,122.2952710495963,126.77000000000001
2025-06-24,122.81430219146483,127.42999999999999
2025-06-25,123.61783929257977,128.79
2025-06-26,123.39869281045752,128.84
2025-06-27,124.20222991157249,129.85
2025-06-30,125.05574778931181,130.56
2025-07-01,124.73663975394078,130.39000000000001
2025-07-02,124.60976547481737,129.24
2025-07-03,125.14801999231065,130.14
2025-07-04,127.08189158016148,132.34
2025-07-07,126.88581314878893,132.14
2025-07-08,127.35486351403307,132.62
2025-07-09,127.96232218377548,133.45
2025-07-10,127.86236063052672,133.48
2025-07-11,128.9042675893887,133.98000000000002
2025-07-14,128.79277201076508,134.02
2025-07-15,129.56170703575546,135.08
2025-07-16,130.24990388312187,136.49
2025-07-17,130.18838908112264,136.13
2025-07-18,131.04959630911188,137.32
2025-07-22,130.15378700499807,136.79
2025-07-23,129.36562860438292,135.19
2025-07-24,130.3921568627451,135.78
2025-07-25,131.30718954248366,136.97
2025-07-28,132.14532871972318,137.61
2025-07-29,132.8565936178393,138.81
2025-07-30,132.20299884659744,138.27
2025-07-31,133.0565167243368,139.54999999999998
2025-08-01,133.81776239907728,140.1
2025-08-04,128.9273356401384,134.48
2025-08-05,130.24605920799692,136.38
2025-08-06,130.1922337562476,135.99
2025-08-07,131.17262591311035,137.76999999999998
2025-08-08,130.70742022299115,137.83
2025-08-12,132.49134948096886,139.78
2025-08-13,133.43329488658208,141.05
2025-08-14,132.8258362168397,140.01
2025-08-15,133.74855824682814,140.83
2025-08-18,133.24490580545944,139.98999999999998
2025-08-19,133.598615916955,140.37
2025-08-20,132.6720492118416,138.27
2025-08-21,132.14532871972318,137.25
2025-08-22,132.55286428296807,137.6
2025-08-25,133.5909265667051,138.7
2025-08-26,132.7604767397155,138.01000000000002
2025-08-27,133.6716647443291,138.95
2025-08-28,133.87158785082661,139.07
2025-08-29,133.840830449827,139.41
2025-09-01,133.32179930795849,138.06
2025-09-02,133.37562475970782,138.12
2025-09-03,133.77931564782776,138.38
2025-09-04,133.77162629757785,138.76
2025-09-05,135.10572856593618,140.28
2025-09-08,134.89427143406382,140.61999999999998
2025-09-09,134.1830065359477,140.23000000000002
2025-09-10,134.68665897731643,140.82
2025-09-11,135.12495194156094,140.92
2025-09-12,136.03229527104958,141.52
2025-09-16,136.85121107266437,143.53
2025-09-17,135.77085736255285,142.45000000000002
2025-09-18,136.03998462129948,142.57999999999998
2025-09-19,137.68550557477892,144.98
2025-09-22,138.58131487889273,146.23999999999998
2025-09-24,138.02768166089965,145.54
2025-09-25,138.48904267589387,146.0
2025-09-26,138.73894655901574,146.35
2025-09-29,139.0234525182622,146.42
2025-09-30,139.08112264513647,146.74
2025-10-01,138.9926951172626,146.45
2025-10-02,138.5505574778931,146.2
2025-10-03,138.8389081122645,146.96
2025-10-06,141.1034217608612,148.70000000000002
2025-10-07,142.27604767397156,150.54000000000002
2025-10-08,143.46789696270665,151.54000000000002
2025-10-09,144.70972702806614,153.78
2025-10-10,144.6482122260669,153.9
2025-10-14,142.3760092272203,151.16
2025-10-15,141.3917723952326,149.31
2025-10-16,141.0880430603614,149.39
2025-10-17,139.6885813148789,148.31
2025-10-20,141.19184928873509,150.09
