date,rakuten-sp_start_100,rakuten-nasdaq_start_100
2024-05-09,111.5324809951624,112.02000000000001
2024-05-10,112.16309606081548,112.25
2024-05-13,112.56046993780235,112.75999999999999
2024-05-14,112.81098825155493,113.27000000000001
2024-05-15,113.49343469246718,114.16999999999999
2024-05-16,112.94056668970282,113.97999999999999
2024-05-17,113.92536281962681,114.97
2024-05-20,114.31409813407049,115.13
2024-05-21,114.85832757429164,116.36
2024-05-22,115.0224602626123,116.49000000000001
2024-05-23,115.143400138217,116.88000000000001
2024-05-24,114.46959225984796,116.55
2024-05-27,115.05701451278507,117.48
2024-05-28,115.10884588804421,117.53
2024-05-29,115.48030407740153,118.27000000000001
2024-05-30,114.7892190739461,117.6
2024-05-31,113.47615756738078,115.71000000000001
2024-06-03,114.72874913614375,116.03000000000002
2024-06-04,114.34001382170007,115.9
2024-06-05,113.66620594333104,115.36999999999999
2024-06-06,115.37664132688322,118.09
2024-06-07,115.37664132688322,118.03999999999999
2024-06-10,116.14547339322736,118.83999999999999
2024-06-11,116.69834139599172,119.55
2024-06-12,116.91430545957154,120.30000000000001
2024-06-13,117.6744989633725,121.64999999999999
2024-06-14,118.25328265376642,122.66
2024-06-17,118.40877677954389,123.39
2024-06-18,119.49723565998617,125.07999999999998
2024-06-19,119.9637180373186,125.28999999999999
2024-06-20,120.11057360055287,125.44999999999999
2024-06-21,120.51658604008293,125.2
2024-06-24,120.922598479613,125.49
2024-06-25,120.32653766413269,123.82
2024-06-26,120.95715272978576,125.42
2024-06-27,121.89875604699378,126.52000000000001
2024-06-28,122.23565998617829,126.99000000000001
2024-07-01,121.8728403593642,126.44
2024-07-02,122.56392536281963,127.64999999999999
2024-07-03,123.24637180373186,128.85999999999999
2024-07-04,123.76468555632343,129.88
2024-07-05,123.53144436765722,129.63
2024-07-08,123.9201796821009,130.64
2024-07-09,124.17933655839668,131.09
2024-07-10,124.74948168624739,131.67
2024-07-11,126.16620594333104,133.25
2024-07-12,123.04768486523842,128.16
2024-07-16,123.57463718037319,128.72
2024-07-17,124.43849343469246,128.88
2024-07-18,120.62024879060125,122.96000000000001
2024-07-19,120.922598479613,123.66
2024-07-22,120.11057360055287,122.56
2024-07-23,120.7930200414651,123.8
2024-07-24,119.92916378714582,122.69000000000001
2024-07-25,115.28161713890808,116.31
2024-07-26,115.26434001382171,115.64000000000001
2024-07-29,116.26641326883207,116.55
2024-07-30,116.60331720801658,117.02
2024-07-31,114.7805805114029,114.16999999999999
2024-08-01,114.4436765722184,115.44000000000001
2024-08-02,112.80234968901175,112.55
2024-08-05,107.73151347615757,106.89999999999999
2024-08-06,104.16378714581893,103.39
2024-08-07,106.72944022114721,105.91999999999999
2024-08-08,105.31271596406357,104.10999999999999
2024-08-09,108.81133379405668,108.35999999999999
2024-08-13,109.11368348306843,108.89999999999999
2024-08-14,110.78092605390464,111.46000000000001
2024-08-15,111.4029025570145,111.75
2024-08-16,114.58189357290946,115.87
2024-08-19,113.89944713199725,115.07000000000001
2024-08-20,113.85625431928128,115.41999999999999
2024-08-21,112.98375950241879,114.49000000000001
2024-08-22,113.30338631651694,114.94
2024-08-23,112.97512093987561,113.69
2024-08-26,112.1458189357291,112.88
2024-08-27,112.80234968901175,112.72999999999999
2024-08-28,112.52591568762958,112.63000000000001
2024-08-29,112.05943331029718,111.52
2024-08-30,112.275397373877,111.57
2024-09-02,114.5473393227367,114.14
2024-09-03,115.26434001382171,114.86000000000001
2024-09-04,111.48928818244643,109.92
2024-09-05,110.08120248790601,108.49
2024-09-06,109.33828610919143,108.13
2024-09-09,107.1181755355909,104.91
2024-09-10,108.94091223220457,106.83
