date,sbi-sp_start_100,fang_start_100
2023-12-28,103.9373378906854,108.95350030794498
2023-12-29,103.94669017234881,108.7353726134264
2024-01-04,103.40425372488653,105.33258057893657
2024-01-05,104.20855579333706,105.94333812358857
2024-01-09,105.07364832968324,108.66608499281463
2024-01-10,105.33083814943629,109.49753644015603
2024-01-11,106.72433775213541,111.32467665777048
2024-01-12,106.4437669388887,111.3683021966742
2024-01-15,106.3829769035899,110.97053993019914
2024-01-16,106.92073753268869,111.5222746869226
2024-01-17,107.67827737335205,112.3460275097516
2024-01-18,107.67360090576572,112.32036542804353
2024-01-19,108.5761027240457,113.77283925272017
2024-01-22,109.9088124966048,116.25179634571955
2024-01-23,110.1145639917747,116.52381441182509
2024-01-24,110.45592464587742,117.60675425990557
2024-01-25,110.32031569807117,119.45955655922809
2024-01-26,110.8206668707008,118.96684459043318
2024-01-29,111.16202777086261,119.07205912543625
2024-01-30,111.31166519968554,120.32180250461917
2024-01-31,111.36310343329097,119.38000410593308
2024-02-01,109.03436841840777,115.42291110654897
2024-02-02,110.19406014159333,116.91901047012934
2024-02-05,113.04185041739716,124.47905974132622
2024-02-06,112.56955704467926,124.20447546704989
2024-02-07,112.31236712630815,122.8931430917676
2024-02-08,113.43932514178489,125.30537877232601
2024-02-09,114.57095954881531,126.81687538493122
2024-02-13,115.05260555137215,127.88955040032847
2024-02-14,114.41664537103063,127.1402176144529
2024-02-15,115.35655637359102,129.52422500513242
2024-02-16,115.95510693764666,129.60890987476904
2024-02-19,115.19288995680488,128.11024430301785
2024-02-20,115.45943248101813,128.41049065900225
2024-02-21,114.65980663542759,125.94693081502773
2024-02-22,115.07131036205953,125.76216382672962
2024-02-26,117.38601694922961,131.1742968589612
2024-02-27,117.18961723041168,131.35136522274686
2024-02-28,117.27846453871493,131.7901868199548
2024-02-29,117.23170326933405,130.97669882980907
2024-03-01,117.38134133233812,129.67306507903922
2024-03-04,118.33060541350615,131.93646068569083
2024-03-05,118.45218537734429,130.9125436255389
2024-03-06,116.98854279394769,127.60213508519811
2024-03-07,116.80149566230158,127.1453500307945
2024-03-08,117.03998095614487,129.27273660439334
2024-03-11,115.51554807858899,125.42855676452473
2024-03-12,115.44072981325397,124.18137959351263
2024-03-13,117.20832363593559,127.47382467665777
2024-03-14,117.14753353888182,126.61927735577909
2024-03-15,117.61047481897006,127.06066516115789
2024-03-18,117.37666637113469,126.09577088893451
2024-03-19,118.07341661024708,128.1949291726545
2024-03-21,120.97264559546672,132.28546499692055
2024-03-22,122.01543221995257,132.71402176144528
2024-03-25,121.68810019978176,133.48131800451654
2024-03-26,121.29997722107558,133.0604598645042
2024-03-27,121.1503391431761,132.77047834120305
2024-03-28,122.16039253917718,132.59084376924656
2024-03-29,122.05751638620424,131.93902689386164
