date,rakuten-vti_start_100,sbi-vti_start_100
2024-03-18,117.1315910902303,117.11451847238223
2024-03-19,117.69369520533579,117.67710616934876
2024-03-21,120.77268341792859,120.74913174830799
2024-03-22,121.90947606862703,121.8891122262306
2024-03-25,121.3977096354713,121.3709396701167
2024-03-26,121.04534586182308,121.02302380300532
2024-03-27,121.0201770208482,121.00081607813746
2024-03-28,122.0437098871597,122.01495537790052
2024-03-29,122.03112546667225,122.00755273055776
2024-04-01,122.04790469398885,122.02235712700606
2024-04-02,122.2198917739838,122.19261370168182
2024-04-03,120.9656445320693,120.94899837573297
2024-04-04,121.26347581693864,121.23769516842593
