date,rakuten-orcan_start_100,rakuten-sp_start_100
2024-05-23,132.06368399838775,134.7997572815534
2024-05-24,131.4087061668682,134.0109223300971
2024-05-27,131.9125352680371,134.69862459546925
2024-05-28,132.1342200725514,134.75930420711975
2024-05-29,132.23498589278518,135.19417475728156
2024-05-30,131.0963321241435,134.38511326860842
2024-05-31,130.1894397420395,132.84789644012943
2024-06-03,131.28778718258766,134.31432038834953
2024-06-04,131.07617896009674,133.85922330097085
2024-06-05,129.76622329705765,133.07038834951456
2024-06-06,131.64046755340587,135.0728155339806
2024-06-07,131.88230552196697,135.0728155339806
2024-06-10,132.3559048770657,135.97289644012943
2024-06-11,132.81942765014108,136.62014563106797
2024-06-12,132.56751309955663,136.87297734627833
2024-06-13,133.484482063684,137.76294498381878
2024-06-14,133.57517130189441,138.4405339805825
2024-06-17,133.33333333333331,138.62257281553397
2024-06-18,134.391374445788,139.89684466019418
2024-06-19,135.12696493349458,140.44296116504856
2024-06-20,135.27811366384523,140.61488673139158
2024-06-21,135.8726320032245,141.09021035598707
2024-06-24,136.1850060459492,141.5655339805825
2024-06-25,136.0540104796453,140.86771844660194
2024-06-26,136.51753325272068,141.6059870550162
2024-06-27,137.20274083031038,142.70833333333331
2024-06-28,137.57557436517533,143.1027508090615
2024-07-01,137.46473196291817,142.6779935275081
2024-07-02,138.24062877871825,143.48705501618122
2024-07-03,138.78476420798066,144.28600323624596
2024-07-04,139.73196291817814,144.8927993527508
2024-07-05,139.6614268440145,144.61974110032364
2024-07-08,139.78234582829506,145.07483818770226
2024-07-09,140.0644901249496,145.3782362459547
2024-07-10,140.528012898025,146.04571197411002
2024-07-11,142.0092704554615,147.70428802588998
2024-07-12,139.28859330914952,144.05339805825244
2024-07-16,139.5707376058041,144.6703074433657
2024-07-17,140.32648125755745,145.68163430420714
2024-07-18,136.36638452237003,141.211569579288
2024-07-19,136.66868198307134,141.5655339805825
2024-07-22,135.71140669085048,140.61488673139158
2024-07-23,136.30592503022973,141.41383495145632
2024-07-24,135.1571946795647,140.4025080906149
2024-07-25,130.48166062071743,134.961569579288
2024-07-26,130.44135429262394,134.9413430420712
2024-07-29,131.63039097138252,136.11448220064725
2024-07-30,131.7613865376864,136.5088996763754
2024-07-31,130.11890366787586,134.375
