äÓèÄì˙,äÓèÄâøäz(â~),ï™îzã‡çƒìäéëäÓèÄâøäz(â~),èÉéëéYëçäz(â≠â~),ï™îzã‡(â~)
2016/11/21,5341,5341,131.33,
2016/11/22,5455,5455,130.03,
2016/11/24,5685,5685,138.07,
2016/11/25,5698,5698,136.27,
2016/11/28,5631,5631,128.08,
2016/11/29,5578,5578,126.28,
2016/11/30,5696,5696,125.84,
2016/12/01,5722,5722,126.80,
2016/12/02,5626,5626,123.24,
2016/12/05,5529,5529,122.86,
2016/12/06,5711,5711,128.99,
2016/12/07,5841,5841,133.41,
2016/12/08,6222,6222,146.12,
2016/12/09,6592,6592,151.81,
2016/12/12,6889,6889,153.65,
2016/12/13,6904,6904,156.84,
2016/12/14,6872,6872,156.04,
2016/12/15,7042,7042,158.90,
2016/12/16,7182,7182,161.42,
2016/12/19,7166,7166,156.53,
2016/12/20,7371,7371,161.15,
2016/12/21,7258,7258,160.27,
2016/12/22,7146,7146,158.41,
2016/12/26,7081,7081,156.02,
2016/12/27,7081,7081,155.64,
2016/12/28,7255,7255,159.07,
2016/12/29,6679,6679,143.50,
2016/12/30,6724,6724,141.84,
2017/01/04,7525,7525,157.49,
2017/01/05,7311,7311,155.25,
2017/01/06,7149,7149,152.80,
2017/01/10,7005,7005,148.07,
2017/01/11,7066,7066,149.95,
2017/01/12,6689,6689,142.61,
2017/01/13,6900,6900,151.21,
2017/01/16,6605,6605,144.36,
2017/01/17,6110,6110,133.65,
2017/01/18,6252,6252,138.87,
2017/01/19,6639,6639,149.02,
2017/01/20,6729,6729,151.33,
2017/01/23,6367,6367,143.80,
2017/01/24,6252,6252,143.00,
2017/01/25,6576,6576,150.86,
2017/01/26,7151,7151,164.17,
2017/01/27,7150,7150,162.78,
2017/01/30,6945,6945,153.13,
2017/01/31,6402,6402,143.24,
2017/02/01,6708,6708,153.08,
2017/02/02,6321,6321,146.46,
2017/02/03,6335,6335,148.56,
2017/02/06,6349,6349,149.94,
2017/02/07,6248,6248,147.86,
2017/02/08,6404,6404,151.85,
2017/02/09,6288,6288,149.04,
2017/02/10,6958,6958,165.63,
2017/02/13,7050,7050,164.18,
2017/02/14,6801,6801,154.96,
2017/02/15,7041,7041,161.17,
2017/02/16,6870,6870,155.61,
2017/02/17,6671,6671,150.76,
2017/02/20,6745,6745,153.59,
2017/02/21,6940,6940,159.29,
2017/02/22,6955,6955,160.05,
2017/02/23,6909,6909,158.52,
2017/02/24,6771,6771,155.55,
2017/02/27,6573,6573,151.50,
2017/02/28,6558,6558,152.23,
2017/03/01,6940,6940,160.88,
2017/03/02,7294,7294,167.55,
2017/03/03,7055,7055,156.22,
2017/03/06,6886,6886,154.86,
2017/03/07,6870,6870,155.70,
2017/03/08,6717,6717,153.12,
2017/03/09,6793,6793,156.93,
2017/03/10,7251,7251,169.69,
2017/03/13,7330,7330,166.90,
2017/03/14,7266,7266,158.48,
2017/03/15,7217,7217,157.48,
2017/03/16,7201,7201,158.53,
2017/03/17,7057,7057,156.88,
2017/03/21,6993,6993,156.36,
2017/03/22,6370,6370,144.99,
2017/03/23,6399,6399,155.72,
2017/03/24,6705,6705,165.70,
2017/03/27,6207,6207,152.95,
2017/03/28,6534,6534,163.56,
2017/03/29,6800,6800,166.83,
2017/03/30,6573,6573,159.89,
2017/03/31,6337,6337,157.21,
2017/04/03,6538,6538,163.04,
2017/04/04,6201,6201,155.79,
2017/04/05,6257,6257,162.01,
2017/04/06,5900,5900,153.84,
2017/04/07,6035,6035,163.20,
2017/04/10,6158,6158,165.92,
2017/04/11,6031,6031,162.41,
2017/04/12,5781,5781,154.71,
2017/04/13,5606,5606,147.84,
2017/04/14,5501,5501,144.90,
2017/04/17,5487,5487,144.32,
2017/04/18,5656,5656,149.09,
2017/04/19,5616,5616,148.61,
2017/04/20,5695,5695,151.09,
2017/04/21,5932,5932,157.60,
2017/04/24,6326,6326,168.21,
2017/04/25,6539,6539,169.70,
2017/04/26,6818,6818,173.20,
2017/04/27,6833,6833,164.33,
2017/04/28,6697,6697,158.20,
2017/05/01,6861,6861,159.16,
2017/05/02,7120,7120,157.74,
2017/05/08,7727,7727,165.81,
2017/05/09,7760,7760,147.49,
2017/05/10,7777,7777,142.51,
2017/05/11,7877,7877,141.12,
2017/05/12,7741,7741,128.72,
2017/05/15,7757,7757,127.76,
2017/05/16,7740,7740,126.34,
2017/05/17,7554,7554,121.80,
2017/05/18,7223,7223,116.11,
2017/05/19,7270,7270,124.59,
2017/05/22,7380,7380,128.65,
2017/05/23,7332,7332,128.22,
2017/05/24,7491,7491,130.85,
2017/05/25,7589,7589,134.53,
2017/05/26,7440,7440,128.83,
2017/05/29,7391,7391,129.57,
2017/05/30,7374,7374,129.44,
2017/05/31,7358,7358,130.24,
2017/06/01,7678,7678,135.12,
2017/06/02,8192,8192,138.27,
2017/06/05,8150,8150,123.03,
2017/06/06,7832,7832,115.26,
2017/06/07,7798,7798,114.16,
2017/06/08,7831,7831,116.55,
2017/06/09,7865,7865,118.21,
2017/06/12,7711,7711,114.55,
2017/06/13,7761,7761,117.28,
2017/06/14,7744,7744,117.50,
2017/06/15,7627,7627,115.58,0
2017/06/16,7841,7841,120.71,
2017/06/19,7991,7991,123.81,
2017/06/20,8283,8283,126.04,
2017/06/21,8124,8124,117.28,
2017/06/22,8054,8054,115.17,
2017/06/23,8071,8071,115.17,
2017/06/26,8139,8139,116.19,
2017/06/27,8191,8191,116.73,
2017/06/28,8173,8173,114.61,
2017/06/29,8295,8295,115.73,
2017/06/30,7960,7960,110.80,
2017/07/03,8045,8045,118.78,
2017/07/04,7942,7942,117.25,
2017/07/05,8044,8044,119.31,
2017/07/06,7871,7871,117.45,
2017/07/07,7837,7837,116.60,
2017/07/10,8088,8088,124.64,
2017/07/11,8225,8225,122.00,
2017/07/12,8015,8015,116.08,
2017/07/13,8049,8049,117.95,
2017/07/14,8100,8100,118.12,
2017/07/18,7874,7874,114.36,
