date,sbi-sp_start_100,rakuten-vti_start_100
2024-02-02,110.19406014159333,110.1388481060447
2024-02-05,113.04185041739716,112.79416082889382
2024-02-06,112.56955704467926,112.20269306598432
2024-02-07,112.31236712630815,111.97617349721045
2024-02-08,113.43932514178489,113.0668232727883
2024-02-09,114.57095954881531,114.39657703762742
2024-02-13,115.05260555137215,115.09291497126557
2024-02-14,114.41664537103063,114.2287847644616
2024-02-15,115.35655637359102,115.34040857418515
2024-02-16,115.95510693764666,116.04933092831075
2024-02-19,115.19288995680488,115.26490205126055
2024-02-20,115.45943248101813,115.5291748814967
2024-02-21,114.65980663542759,114.6356810268887
2024-02-22,115.07131036205953,114.95868115273291
2024-02-26,117.38601694922961,117.16095473803432
2024-02-27,117.18961723041168,117.03511053315995
2024-02-28,117.27846453871493,117.23646126095892
2024-02-29,117.23170326933405,117.1693443516926
2024-03-01,117.38134133233812,117.38747430680819
2024-03-04,118.33060541350615,118.28516296824532
2024-03-05,118.45218537734429,118.43198120726541
2024-03-06,116.98854279394769,116.88829229413986
2024-03-07,116.80149566230158,116.77922731658208
2024-03-08,117.03998095614487,117.00155207852679
2024-03-11,115.51554807858899,115.50820084735098
2024-03-12,115.44072981325397,115.34460338101431
2024-03-13,117.20832363593559,117.02252611267252
2024-03-14,117.14753353888182,116.99316246486848
2024-03-15,117.61047481897006,117.25743529510466
2024-03-18,117.37666637113469,117.1315910902303
2024-03-19,118.07341661024708,117.69369520533579
2024-03-21,120.97264559546672,120.77268341792859
2024-03-22,122.01543221995257,121.90947606862703
2024-03-25,121.68810019978176,121.3977096354713
2024-03-26,121.29997722107558,121.04534586182308
2024-03-27,121.1503391431761,121.0201770208482
2024-03-28,122.16039253917718,122.0437098871597
2024-03-29,122.05751638620424,122.03112546667225
2024-04-01,122.07622048001525,122.04790469398885
2024-04-02,122.17909655253818,122.2198917739838
2024-04-03,121.25321358453532,120.9656445320693
2024-04-04,121.47299352188223,121.26347581693864
2024-04-05,119.39209554743589,119.22060489114476
2024-04-08,121.29997526467913,121.06212508913966
2024-04-09,121.49169836658322,121.34737195352155
2024-04-10,121.51507944393384,121.38932002181299
2024-04-11,121.28127106442498,120.97822895255675
2024-04-12,122.21650611717136,121.86333319350643
2024-04-15,120.84171097233522,120.39515080330551
2024-04-16,120.06078954143318,119.66105960820504
2024-04-17,120.1356078236517,119.58555308528042
2024-04-18,119.15828783502118,118.6333319350644
2024-04-19,119.12087809055538,118.6165527077478
2024-04-22,118.152910173653,117.71466923948152
2024-04-23,119.21440182629861,118.90599437895885
2024-04-24,120.72012979141356,120.3280338940392
2024-04-25,121.15501440137673,120.87755358865724
2024-04-26,120.8323580016734,120.48324174671757
2024-04-30,123.34813965318216,122.97495700323
2024-05-01,122.23053396600334,121.77524225009438
2024-05-02,120.43488308297432,120.05956625697387
2024-05-07,122.68412375508314,122.44221653592852
2024-05-08,123.52115949938569,123.22245060614958
2024-05-09,124.08230006924069,123.69226897101389
2024-05-10,124.83048779972918,124.45991862074752
2024-05-13,125.20925845225015,124.79969797390831
2024-05-14,125.52256206711971,125.1688409748731
2024-05-15,126.25204522315214,125.91551659046101
2024-05-16,125.67219987993307,125.35341247535553
2024-05-17,126.76642521084362,126.34758169386299
2024-05-20,127.22469090863784,126.79642602458156
2024-05-21,127.81856558782407,127.39628340114936
2024-05-22,128.02899329235132,127.53051721968203
2024-05-23,128.14122094729152,127.57246528797349
2024-05-24,127.38368080294416,126.68316624019465
2024-05-27,128.0102887718347,127.36272494651621
2024-05-28,128.07107957786954,127.41725743529511
2024-05-29,128.54337370158285,127.79059524308907
2024-05-30,127.82324287169686,126.91807542262679
2024-05-31,126.26140006639346,125.59251646461679
2024-06-03,127.71569023588418,126.91388061579765
2024-06-04,127.27612986764242,126.38114014849616
2024-06-05,126.48117970638602,125.42472419145099
2024-06-06,128.37970648219178,127.35014052602878
2024-06-07,128.37970648219178,127.26204958261671
2024-06-10,129.19336037251406,128.00033558454632
2024-06-11,129.876081393469,128.69247871135534
2024-06-12,130.07248130251304,128.8099333025714
2024-06-13,130.88613540132798,129.75795964595832
2024-06-14,131.48468555168634,130.16905071521455
2024-06-17,131.76993237306274,130.24875204496834
2024-06-18,132.99041447608718,131.41490834347078
2024-06-19,133.52349857308968,131.9308695834557
2024-06-20,133.6918409943857,132.0986618566215
2024-06-21,134.11269622524398,132.5517009941692
2024-06-24,134.4727619920695,132.9921557112295
2024-06-25,133.84615388410458,132.50136331221947
2024-06-26,134.58499000739099,133.12219472293302
2024-06-27,135.57166352368287,133.9527664751038
2024-06-28,136.02525241691723,134.51067578338018
2024-07-01,135.59036880292015,134.13733797558623
2024-07-02,136.30114707522193,134.80850706824953
2024-07-03,137.09142112596408,135.50484500188767
2024-07-04,137.59177191113278,135.94529971894792
2024-07-05,137.33458261924105,135.68941650237008
2024-07-08,137.8068762488686,136.05855950333486
2024-07-09,138.09212270201613,136.39414404966652
2024-07-10,138.75614005495,136.86815722135998
2024-07-11,140.23848716233246,138.34892403204833
2024-07-12,136.79682292725317,135.49226058140022
2024-07-16,137.47954440721384,136.39833885649566
2024-07-17,138.34931286929242,137.6106380301187
2024-07-18,134.11269858451436,133.3612987121943
2024-07-19,134.50082073421794,133.58362347413902
2024-07-22,133.64508078242778,132.78661017660136
2024-07-23,134.3465076337587,133.4913377238978
2024-07-24,133.38321496125803,132.6523763580687
2024-07-25,128.26280273557836,127.57666009480263
2024-07-26,128.2581262737906,127.72347833382274
2024-07-29,129.37573167386506,128.93577750744578
2024-07-30,129.74047291162933,129.21682956499853
2024-07-31,127.68763222310464,127.30399765090819
2024-08-01,127.29951034244667,126.8006208314107
2024-08-02,125.48983068737924,124.73677587147111
2024-08-05,119.88309689496228,118.91438399261713
2024-08-06,115.91302428156934,115.03418767565753
2024-08-07,118.71872917169104,117.85309786484332
2024-08-08,117.22702952683603,116.28004530391377
2024-08-09,121.14566419083144,120.19380007550653
2024-08-13,121.45896747319185,120.36998196233064
2024-08-14,123.28735246922888,122.19052812617979
2024-08-15,123.9046078595954,122.76102185494358
2024-08-16,127.50993829438902,126.36016611435043
2024-08-19,126.7523979256839,125.64285414656655
2024-08-20,126.68693157967925,125.55895800998364
2024-08-21,125.74702096438057,124.52703553001385
2024-08-22,126.02759148996694,124.98846428121986
2024-08-23,125.74234442021628,124.66546415537564
2024-08-26,124.75567190686661,123.89781450564202
2024-08-27,125.56932590392975,124.70321741683796
2024-08-28,125.22796569145993,124.30890557489826
2024-08-29,124.73696687445823,123.77197030076765
2024-08-30,124.99415703697798,124.12433407441587
2024-09-02,127.41173902495811,126.56571164897856
2024-09-03,128.21136490613964,127.36272494651621
2024-09-04,124.12906376298218,123.13016485590838
2024-09-05,122.4549934206708,121.49838499937078
2024-09-06,121.68342409992611,120.65942363354168
2024-09-09,119.284546125712,118.27257854775787
2024-09-10,121.2485399350717,120.16024162087335
