date,rakuten-sp_start_100,fang_start_100
2024-01-17,113.24838187702267,120.98994030510724
2024-01-18,113.23826860841424,120.96230378067654
2024-01-19,114.16868932038835,122.52653106345346
2024-01-22,115.59466019417475,125.19621932345788
2024-01-23,115.81715210355988,125.48916648242316
2024-01-24,116.17111650485437,126.65542781339818
2024-01-25,116.02953074433657,128.65078487729383
2024-01-26,116.52508090614886,128.12016360822463
2024-01-29,116.86893203883496,128.23347335839046
2024-01-30,117.07119741100325,129.57937209816492
2024-01-31,117.13187702265373,128.5651116515587
2024-02-01,114.70469255663431,124.30355958434667
2024-02-02,115.86771844660196,125.91476895865577
2024-02-05,118.92192556634305,134.0564890559363
2024-02-06,118.47694174757282,133.76077824452796
2024-02-07,118.12297734627832,132.34855184611982
2024-02-08,119.3163430420712,134.94638514260447
2024-02-09,120.50970873786409,136.57417643157197
2024-02-13,120.99514563106797,137.7293831527747
2024-02-14,120.3883495145631,136.9223966393986
2024-02-15,121.3794498381877,139.4898297590095
2024-02-16,121.9457928802589,139.58103028963077
2024-02-19,121.17718446601941,137.9670572628786
2024-02-20,121.47046925566343,138.29040459871766
2024-02-21,120.5906148867314,135.63729825337165
2024-02-22,121.03559870550163,135.4383152774707
2024-02-26,123.48300970873787,141.26685827990272
2024-02-27,123.26051779935274,141.45755029847447
2024-02-28,123.34142394822007,141.93013486623923
2024-02-29,123.3009708737864,141.05405704178642
2024-03-01,123.65493527508092,139.65012160070748
2024-03-04,124.48422330097087,142.08766305549415
2024-03-05,124.61569579288026,140.98496573070972
2024-03-06,123.04813915857605,137.419854079151
2024-03-07,122.84587378640776,136.92792394428477
2024-03-08,123.1492718446602,139.21899181958878
2024-03-11,121.50080906148868,135.07904045987175
2024-03-12,121.39967637540454,133.73590537254034
2024-03-13,123.32119741100325,137.28167145699757
2024-03-14,123.22006472491908,136.36137519345567
2024-03-15,123.66504854368931,136.83672341366352
2024-03-18,123.42233009708738,135.79759009506964
2024-03-19,124.18082524271846,138.0582577934999
2024-03-21,127.28559870550163,142.4635197877515
2024-03-22,128.36771844660194,142.925049745744
2024-03-25,128.05420711974108,143.75138182622155
2024-03-26,127.57888349514563,143.29814282555827
2024-03-27,127.43729773462785,142.9858500994915
2024-03-28,128.50930420711975,142.79239442847665
2024-03-29,128.5497572815534,142.0904267079372
2024-04-01,128.56998381877023,142.10148131770947
2024-04-02,128.59021035598707,143.37552509396417
2024-04-03,127.53843042071198,141.7090426707937
2024-04-04,127.81148867313917,142.7537032942737
2024-04-05,125.61690938511327,140.19179747954897
2024-04-08,127.68001618122977,143.02730488613753
2024-04-09,127.79126213592234,143.48883484413
2024-04-10,127.85194174757282,143.48330753924387
2024-04-11,127.63956310679612,143.90061905814724
2024-04-12,128.65088996763754,147.65642272827768
2024-04-15,127.11367313915858,145.87939420738448
2024-04-16,126.36529126213591,142.8974132213133
2024-04-17,126.40574433656957,143.06046871545433
2024-04-18,125.40453074433657,140.91863807207605
2024-04-19,125.37419093851132,140.2139066990935
2024-04-22,124.32241100323624,134.98231262436434
2024-04-23,125.45509708737863,136.0739553393765
2024-04-24,126.96197411003236,139.0476453681185
2024-04-25,127.52831715210355,140.5869997789078
2024-04-26,127.14401294498381,140.03150563785098
2024-04-30,129.79368932038835,146.5233252266195
2024-05-01,128.6205501618123,143.89785540570418
2024-05-02,126.6990291262136,141.67035153659074
2024-05-07,129.1059870550162,147.73656864912667
2024-05-08,129.98584142394822,147.74762325889895
2024-05-09,130.57241100323625,148.2754808755251
2024-05-10,131.31067961165047,147.97424275923058
2024-05-13,131.77588996763754,148.21191686933452
2024-05-14,132.06917475728156,149.33672341366352
2024-05-15,132.86812297734627,151.12757019677204
2024-05-16,132.22087378640776,150.60800353747513
2024-05-17,133.37378640776697,151.6277912889675
2024-05-20,133.82888349514565,151.85717444174222
2024-05-21,134.46601941747574,153.6894760114968
2024-05-22,134.6581715210356,154.6788635861154
2024-05-23,134.7997572815534,154.2118063232368
2024-05-24,134.0109223300971,153.44903824894982
2024-05-27,134.69862459546925,155.47755914216228
2024-05-28,134.75930420711975,155.54112314835288
2024-05-29,135.19417475728156,156.90636745522883
2024-05-30,134.38511326860842,156.63552951580812
2024-05-31,132.84789644012943,152.94052619942516
2024-06-03,134.31432038834953,152.06721202741542
2024-06-04,133.85922330097085,152.51768737563566
2024-06-05,133.07038834951456,151.7604466062348
2024-06-06,135.0728155339806,155.5908688923281
2024-06-07,135.0728155339806,155.56323236789743
2024-06-10,135.97289644012943,156.3785098386027
2024-06-11,136.62014563106797,156.99204068096395
2024-06-12,136.87297734627833,158.62259562237452
2024-06-13,137.76294498381878,161.07119168693345
2024-06-14,138.4405339805825,163.89564448374972
2024-06-17,138.62257281553397,165.2857616626133
2024-06-18,139.89684466019418,168.4280344903825
2024-06-19,140.44296116504856,168.0190139288083
2024-06-20,140.61488673139158,168.22905151448154
2024-06-21,141.09021035598707,167.16504532390007
2024-06-24,141.5655339805825,167.1263541896971
2024-06-25,140.86771844660194,164.05869997789077
2024-06-26,141.6059870550162,166.73391554278135
2024-06-27,142.70833333333331,170.66106566438205
2024-06-28,143.1027508090615,172.35794826442628
2024-07-01,142.6779935275081,170.8351757682954
2024-07-02,143.48705501618122,175.21832854300243
2024-07-03,144.28600323624596,178.06489055936325
2024-07-04,144.8927993527508,180.91421622816713
2024-07-05,144.61974110032364,180.5742869776697
2024-07-08,145.07483818770226,182.56964404156534
2024-07-09,145.3782362459547,182.80731815166925
2024-07-10,146.04571197411002,183.90172451912449
2024-07-11,147.70428802588998,185.57373424718108
2024-07-12,144.05339805825244,176.15244306875968
2024-07-16,144.6703074433657,175.9810966172894
2024-07-17,145.68163430420714,175.7517134645147
2024-07-18,141.211569579288,167.12359053725402
2024-07-19,141.5655339805825,168.21799690470925
2024-07-22,140.61488673139158,166.2972584567765
2024-07-23,141.41383495145632,168.96141941189475
2024-07-24,140.4025080906149,168.31472474021666
2024-07-25,134.961569579288,156.47800132655317
2024-07-26,134.9413430420712,156.36192792394428
2024-07-29,136.11448220064725,156.99480433340702
2024-07-30,136.5088996763754,158.440194561132
2024-07-31,134.375,153.9630776033606
2024-08-01,133.98058252427185,156.31494583241212
2024-08-02,132.05906148867314,152.01470263099714
2024-08-05,126.12257281553399,143.64083572849879
2024-08-06,121.9457928802589,137.50552730488613
2024-08-07,124.94943365695792,141.2862038470042
2024-08-08,123.29085760517799,138.65520672120275
2024-08-09,127.38673139158576,144.97015255361484
2024-08-13,127.74069579288026,146.24695998231263
2024-08-14,129.69255663430422,150.5748397081583
2024-08-15,130.42071197411002,150.72131328764095
2024-08-16,134.14239482200648,156.3425823568428
2024-08-19,133.34344660194176,155.5742869776697
2024-08-20,133.29288025889966,156.67422065001105
2024-08-21,132.27144012944984,155.62956002653107
2024-08-22,132.64563106796118,156.27901835065222
2024-08-23,132.26132686084142,151.6637187707274
2024-08-26,131.29045307443366,150.96175105018793
2024-08-27,132.05906148867314,150.74618615962856
2024-08-28,131.73543689320388,149.70428918859164
2024-08-29,131.18932038834953,147.7255140393544
2024-08-30,131.44215210355986,147.91620605792616
2024-09-02,134.10194174757282,151.8046650453239
2024-09-03,134.9413430420712,152.75812513818263
2024-09-04,130.52184466019418,145.72186601812956
2024-09-05,128.87338187702267,144.45058589431795
2024-09-06,128.00364077669903,145.63342913995137
2024-09-09,125.40453074433657,139.06975458766306
2024-09-10,127.53843042071198,141.79471589652886
2024-09-11,126.8406148867314,142.5685385805881
2024-09-12,128.85315533980582,146.97932787972584
2024-09-13,128.64077669902915,147.81671456997566
2024-09-17,128.83292880258898,146.7001989829759
2024-09-18,129.65210355987057,148.01569754587663
2024-09-19,131.1185275080906,149.46385142604467
2024-09-20,132.5242718446602,153.41311076718992
2024-09-24,133.54571197411002,154.70373645810304
2024-09-25,133.50525889967636,155.04090205615742
2024-09-26,134.43567961165047,156.11596285651117
2024-09-27,135.8515372168285,156.87873093079813
2024-09-30,133.06027508090614,152.84656201636082
2024-10-01,134.92111650485435,154.8750829095733
2024-10-02,133.51537216828478,152.15564890559364
2024-10-03,136.49878640776697,156.3674552288304
2024-10-04,135.90210355987057,156.83451249170903
2024-10-07,138.7742718446602,161.59628565111652
2024-10-08,136.9336569579288,158.5369223966394
2024-10-09,138.58211974110034,162.20981649347777
2024-10-10,140.65533980582526,164.91819588768516
2024-10-11,139.6440129449838,165.29405261994253
2024-10-15,142.58697411003237,166.75326110988283
2024-10-16,141.14077669902915,164.0200088436878
