date,rakuten-sp_start_100,rakuten-vti_start_100
2024-04-05,125.61690938511327,125.96285954881887
2024-04-08,127.68001618122977,127.90852280281877
2024-04-09,127.79126213592234,128.20990116562513
2024-04-10,127.85194174757282,128.25422151309667
2024-04-11,127.63956310679612,127.81988210787571
2024-04-12,128.65088996763754,128.7550414395249
2024-04-15,127.11367313915858,127.20382927802154
2024-04-16,126.36529126213591,126.42822319726987
2024-04-17,126.40574433656957,126.34844657182111
2024-04-18,125.40453074433657,125.34237468421752
2024-04-19,125.37419093851132,125.32464654522893
2024-04-22,124.32241100323624,124.37175907459115
2024-04-23,125.45509708737863,125.63045694278243
2024-04-24,126.96197411003236,127.13291672206711
2024-04-25,127.52831715210355,127.71351327394407
2024-04-26,127.14401294498381,127.29690200771174
2024-04-30,129.79368932038835,129.9295306475203
2024-05-01,128.6205501618123,128.6619687098347
2024-05-02,126.6990291262136,126.84926649824935
2024-05-07,129.1059870550162,129.36666223463192
2024-05-08,129.98584142394822,130.19102069760226
2024-05-09,130.57241100323625,130.68740858928334
2024-05-10,131.31067961165047,131.49847094801223
2024-05-13,131.77588996763754,131.8574657625316
2024-05-14,132.06917475728156,132.247484820281
2024-05-15,132.86812297734627,133.03638700527412
2024-05-16,132.22087378640776,132.44249434915568
2024-05-17,133.37378640776697,133.49288658423083
2024-05-20,133.82888349514565,133.96711430217613
2024-05-21,134.46601941747574,134.60089527101894
2024-05-22,134.6581715210356,134.7427203829278
2024-05-23,134.7997572815534,134.78704073039933
