date,emaxis-sp_start_100,rakuten-sp_start_100
2024-03-08,123.19538884135632,123.1492718446602
2024-03-11,121.5382537037871,121.50080906148868
2024-03-12,121.42117350385013,121.39967637540454
2024-03-13,123.35299680280994,123.32119741100325
2024-03-14,123.24942585671185,123.22006472491908
2024-03-15,123.681721979556,123.66504854368931
2024-03-18,123.48358625658575,123.42233009708738
2024-03-19,124.2310983023371,124.18082524271846
2024-03-21,127.33372360066646,127.28559870550163
2024-03-22,128.42347007700275,128.36771844660194
2024-03-25,128.11275723870853,128.05420711974108
2024-03-26,127.63543026973477,127.57888349514563
2024-03-27,127.48232539289413,127.43729773462785
2024-03-28,128.55405953077857,128.50930420711975
2024-03-29,128.60359346152114,128.5497572815534
2024-04-01,128.62160579997297,128.56998381877023
2024-04-02,128.63961813842482,128.59021035598707
2024-04-03,127.58139325437925,127.53843042071198
2024-04-04,127.84707524654388,127.81148867313917
2024-04-05,125.65857612464538,125.61690938511327
2024-04-08,127.73449813121988,127.68001618122977
2024-04-09,127.84257216193092,127.79126213592234
2024-04-10,127.90561534651236,127.85194174757282
2024-04-11,127.6894672850903,127.63956310679612
2024-04-12,128.70716440761922,128.65088996763754
2024-04-15,127.15810330076103,127.11367313915858
2024-04-16,126.41059125500969,126.36529126213591
2024-04-17,126.45562210113927,126.40574433656957
2024-04-18,125.4559373170622,125.40453074433657
2024-04-19,125.42891880938443,125.37419093851132
2024-04-22,124.36168775611294,124.32241100323624
2024-04-23,125.49196199396586,125.45509708737863
2024-04-24,127.00049533930742,126.96197411003236
2024-04-25,127.5768901697663,127.52831715210355
2024-04-26,127.18061872382582,127.14401294498381
2024-04-30,129.8329355608592,129.79368932038835
2024-05-01,128.66663664610257,128.6205501618123
2024-05-02,126.73931643175575,126.6990291262136
2024-05-07,129.15296978430223,129.1059870550162
2024-05-08,130.04007745305535,129.98584142394822
2024-05-09,130.62547845274014,130.57241100323625
2024-05-10,131.35497816003962,131.31067961165047
2024-05-13,131.82329895978745,131.77588996763754
2024-05-14,132.11599945962985,132.06917475728156
2024-05-15,132.91304543612375,132.86812297734627
2024-05-16,132.2691043364705,132.22087378640776
2024-05-17,133.42189399738822,133.37378640776697
2024-05-20,133.86769937407124,133.82888349514565
2024-05-21,134.49813121988564,134.46601941747574
2024-05-22,134.69626694285586,134.6581715210356
2024-05-23,134.84036565047057,134.7997572815534
2024-05-24,134.0523258432026,134.0109223300971
2024-05-27,134.74129778898543,134.69862459546925
2024-05-28,134.79983788895393,134.75930420711975
2024-05-29,135.23213401179808,135.19417475728156
2024-05-30,134.4215787814653,134.38511326860842
2024-05-31,132.88602692844597,132.84789644012943
2024-06-03,134.34052325843203,134.31432038834953
2024-06-04,133.89471788174902,133.85922330097085
2024-06-05,133.10217498986805,133.07038834951456
2024-06-06,135.10154455802223,135.0728155339806
2024-06-07,135.10154455802223,135.0728155339806
2024-06-10,136.01116764984013,135.97289644012943
2024-06-11,136.65060566488046,136.62014563106797
2024-06-12,136.9117845724321,136.87297734627833
2024-06-13,137.79889224118523,137.76294498381878
2024-06-14,138.49236727158103,138.4405339805825
2024-06-17,138.6634844868735,138.62257281553397
2024-06-18,139.92434817850227,139.89684466019418
2024-06-19,140.47822758589635,140.44296116504856
2024-06-20,140.65384788580178,140.61488673139158
2024-06-21,141.13567793938847,141.09021035598707
2024-06-24,141.61300490836223,141.5655339805825
2024-06-25,140.90151753951457,140.86771844660194
2024-06-26,141.6490295852659,141.6059870550162
2024-06-27,142.761291484667,142.70833333333331
2024-06-28,143.14855676138154,143.1027508090615
2024-07-01,142.7162606385374,142.6779935275081
2024-07-02,143.52681586887016,143.48705501618122
2024-07-03,144.33286801459,144.28600323624596
2024-07-04,144.94528752195254,144.8927993527508
2024-07-05,144.67960552978792,144.61974110032364
2024-07-08,145.12541090647093,145.07483818770226
2024-07-09,145.43612374476515,145.3782362459547
2024-07-10,146.08907101364434,146.04571197411002
2024-07-11,147.75971540505248,147.70428802588998
2024-07-12,144.0987076147161,144.05339805825244
2024-07-16,144.71112712207864,144.6703074433657
2024-07-17,145.73332732922051,145.68163430420714
2024-07-18,141.26176430855136,141.211569579288
2024-07-19,141.62651416220112,141.5655339805825
2024-07-22,140.6628540550277,140.61488673139158
2024-07-23,141.46440311613455,141.41383495145632
2024-07-24,140.45571216283156,140.4025080906149
2024-07-25,134.99797361192415,134.961569579288
2024-07-26,134.97545818885936,134.9413430420712
2024-07-29,136.14626018822892,136.11448220064725
2024-07-30,136.5425316341694,136.5088996763754
2024-07-31,134.4215787814653,134.375
2024-08-01,134.02530733552481,133.98058252427185
2024-08-02,132.10699329040392,132.05906148867314
2024-08-05,126.17192777052281,126.12257281553399
2024-08-06,121.99306524969604,121.9457928802589
2024-08-07,125.00112577115323,124.94943365695792
2024-08-08,123.32597829513216,123.29085760517799
2024-08-09,127.4282883775386,127.38673139158576
2024-08-13,127.78403206196245,127.74069579288026
2024-08-14,129.73837078398702,129.69255663430422
2024-08-15,130.47687666051243,130.42071197411002
2024-08-16,134.18291529697842,134.14239482200648
2024-08-19,133.38136623587158,133.34344660194176
2024-08-20,133.34083847435494,133.29288025889966
2024-08-21,132.3096320979871,132.27144012944984
2024-08-22,132.69689737470168,132.64563106796118
2024-08-23,132.29161975953528,132.26132686084142
2024-08-26,131.33246273697483,131.29045307443366
2024-08-27,132.10699329040392,132.05906148867314
2024-08-28,131.78727428288377,131.73543689320388
2024-08-29,131.23789796010269,131.18932038834953
2024-08-30,131.48106452920248,131.44215210355986
2024-09-02,134.1423875354618,134.10194174757282
2024-09-03,134.98896744269823,134.9413430420712
2024-09-04,130.56693835277164,130.52184466019418
2024-09-05,128.91880938442833,128.87338187702267
2024-09-06,128.0452109695141,128.00364077669903
2024-09-09,125.44693114783627,125.40453074433657
2024-09-10,127.5768901697663,127.53843042071198
2024-09-11,126.88791822398342,126.8406148867314
2024-09-12,128.9007970459765,128.85315533980582
2024-09-13,128.68014589994146,128.64077669902915
2024-09-17,128.8692754536858,128.83292880258898
2024-09-18,129.68433376863152,129.65210355987057
2024-09-19,131.15233935245644,131.1185275080906
2024-09-20,132.57081100553881,132.5242718446602
2024-09-24,133.59751429729366,133.54571197411002
2024-09-25,133.5479803665511,133.50525889967636
2024-09-26,134.4891250506597,134.43567961165047
2024-09-27,135.90309361912912,135.8515372168285
2024-09-30,133.1201873283199,133.06027508090614
2024-10-01,134.97545818885936,134.92111650485435
2024-10-02,133.56148962038995,133.51537216828478
2024-10-03,136.55153780339532,136.49878640776697
2024-10-04,135.95713063448463,135.90210355987057
2024-10-07,138.83910478677893,138.7742718446602
2024-10-08,136.97482775701354,136.9336569579288
2024-10-09,138.63196289458278,138.58211974110034
2024-10-10,140.71238798577025,140.65533980582526
2024-10-11,139.69919394785427,139.6440129449838
2024-10-15,142.62619894627818,142.58697411003237
2024-10-16,141.189714954744,141.14077669902915
2024-10-17,142.18039356959517,142.13187702265373
2024-10-18,142.62619894627818,142.58697411003237
2024-10-21,142.53163416940603,142.4757281553398
2024-10-22,143.52231278425722,143.47694174757282
2024-10-23,144.05367676858648,144.00283171521036
2024-10-24,144.0716891070383,144.01294498381878
2024-10-25,143.78799477642187,143.73988673139158
2024-10-28,144.95879677579143,144.91302588996763
2024-10-29,144.85522582969335,144.8118932038835
2024-10-30,145.44512991399108,145.3984627831715
2024-10-31,145.27851578331158,145.2366504854369
2024-11-01,141.10865943171072,141.0598705501618
2024-11-05,141.6490295852659,141.6059870550162
2024-11-06,143.78799477642187,143.73988673139158
2024-11-07,149.1466654658441,149.0898058252427
2024-11-08,148.79992795064618,148.74595469255664
2024-11-11,149.38983203494394,149.34263754045307
2024-11-12,150.2138965191156,150.16181229773463
2024-11-13,150.89386229567253,150.83940129449837
2024-11-14,151.71342369523126,151.66868932038835
2024-11-15,151.84851623362005,151.79004854368932
2024-11-18,147.48052415904894,147.4312297734628
2024-11-19,148.20101769712252,148.1593851132686
2024-11-20,149.20070248119964,149.1504854368932
2024-11-21,149.42135362723465,149.37297734627833
2024-11-22,149.64650785788265,149.59546925566343
2024-11-25,149.90318368082137,149.85841423948222
2024-11-26,150.3489890575044,150.30339805825244
2024-11-27,149.88066825775655,149.82807443365695
2024-11-28,148.23704237402623,148.17961165048544
2024-11-29,147.2283514207232,147.17839805825244
2024-12-02,147.55707659746926,147.5121359223301
2024-12-03,147.67415679740623,147.62338187702267
2024-12-04,147.60661052821183,147.55258899676375
2024-12-05,149.06560994281082,149.0088996763754
2024-12-06,148.4757058585131,148.43244336569578
2024-12-09,148.64682307380556,148.59425566343043
2024-12-10,149.42135362723465,149.37297734627833
2024-12-11,149.2952672580718,149.24150485436894
2024-12-12,151.04696717251318,151.00121359223303
2024-12-13,150.84432836493,150.78883495145632
2024-12-16,151.74044220290898,151.68891585760517
2024-12-17,152.6815868870176,152.63956310679612
2024-12-18,151.56932498761654,151.50687702265373
2024-12-19,148.24604854325213,148.18972491909386
2024-12-20,150.9974332417706,150.9304207119741
2024-12-23,151.45674787229254,151.39563106796118
2024-12-24,153.27599405592832,153.21601941747574
2024-12-25,154.89710451659386,154.834142394822
2024-12-26,154.94663844733643,154.8847087378641
2024-12-27,155.63110730850633,155.57241100323625
2024-12-30,153.92443824019452,153.86326860841424
2025-01-06,152.78065474850274,152.72046925566343
2025-01-07,154.12257396316477,154.0554207119741
2025-01-08,152.2898185256901,152.22491909385113
2025-01-09,152.8527041023101,152.7710355987055
2025-01-10,152.60953753321024,152.538430420712
2025-01-14,149.9347052731121,149.8685275080906
2025-01-15,150.5966587112172,150.53600323624596
2025-01-16,151.7944792182645,151.72936893203882
2025-01-17,150.30395821137478,150.24271844660194
2025-01-20,152.61854370243617,152.54854368932038
2025-01-21,152.63655604088802,152.5687702265372
2025-01-22,153.4336020173819,153.36771844660194
2025-01-23,155.32039447021208,155.2588996763754
2025-01-24,155.97784482370426,155.91626213592232
2025-01-27,154.82055207817356,154.7532362459547
2025-01-28,152.10519205655874,152.0529935275081
2025-01-29,154.0505246093574,153.9745145631068
2025-01-30,152.42491106407888,152.3462783171521
2025-01-31,152.90223803305264,152.83171521035598
2025-02-03,153.39757734047822,153.31715210355986
2025-02-04,151.88904399513666,151.81027508090614
2025-02-05,151.72693294907012,151.6484627831715
2025-02-06,150.88035304183364,150.79894822006472
2025-02-07,150.1328409960823,150.06067961165047
2025-02-10,149.36281352726616,149.2819579288026
2025-02-12,151.72242986445715,151.6484627831715
2025-02-13,152.55550051785474,152.4777508090615
2025-02-14,152.45192957175666,152.37661812297733
2025-02-17,151.56932498761654,151.4866504854369
2025-02-18,151.33066150312965,151.25404530744336
2025-02-19,152.19075066420498,152.12378640776697
2025-02-20,151.5378033953258,151.46642394822007
2025-02-21,149.63299860404376,149.5651294498382
2025-02-25,146.71499977484578,146.6626213592233
2025-02-26,144.7606610528212,144.6905339805825
2025-02-27,145.09388931418022,145.0242718446602
2025-02-28,143.20259377673707,143.14320388349515
2025-03-03,146.35024992119602,146.288430420712
2025-03-04,142.5496465078579,142.48584142394822
2025-03-05,141.38785067771425,141.3228155339806
2025-03-06,142.37402620795245,142.31391585760517
2025-03-07,138.73553384068086,138.67313915857605
2025-03-10,138.86162020984375,138.80461165048544
2025-03-11,134.49813121988564,134.43567961165047
2025-03-12,134.75480704282435,134.69862459546925
2025-03-13,135.62840545773855,135.55825242718447
2025-03-14,133.79114693565094,133.7378640776699
2025-03-17,137.10992029540233,137.04490291262138
2025-03-18,138.63646597919575,138.58211974110034
2025-03-19,137.31255910298555,137.24716828478964
2025-03-21,137.92047552573513,137.8640776699029
2025-03-24,138.722024586842,138.6529126213592
2025-03-25,142.25244292340253,142.18244336569578
2025-03-26,141.77511595442877,141.70711974110034
2025-03-27,140.5502769397037,140.48341423948222
2025-03-28,140.57729544738146,140.50364077669903
2025-03-31,136.3534020804251,136.27629449838187
2025-04-01,137.39811771063177,137.32807443365695
2025-04-02,137.93848786418695,137.8640776699029
2025-04-03,137.00634934930426,136.92354368932038
2025-04-04,128.80172918449136,128.72168284789643
2025-04-07,120.91232494258568,120.84344660194175
2025-04-08,122.27675958031253,122.19862459546927
2025-04-09,118.41311298239295,118.34546925566343
2025-04-10,131.03525915251947,130.95671521035598
2025-04-11,123.61867879497457,123.54368932038835
2025-04-14,125.58652677083802,125.51577669902913
2025-04-15,126.9464583239519,126.87095469255662
2025-04-16,126.10888458594135,126.04166666666667
2025-04-17,122.93871301841762,122.8661003236246
2025-04-18,123.04678704912865,122.97734627831716
2025-04-21,121.99306524969604,121.91545307443366
2025-04-22,118.88593686675372,118.81067961165049
2025-04-23,122.86216057999731,122.78519417475728
2025-04-24,125.66758229387129,125.58656957928802
2025-04-25,128.34691763858243,128.26658576051778
2025-04-28,129.7879047147296,129.70266990291262
2025-04-30,129.63479983788895,129.5509708737864
2025-05-01,130.2787409375422,130.19822006472492
2025-05-02,133.78664385103795,133.69741100323625
2025-05-07,131.14783626784347,131.06796116504856
2025-05-08,132.28261359030938,132.20064724919095
2025-05-09,135.06551988111858,134.98179611650485
2025-05-12,135.11955689647408,135.03236245954693
2025-05-13,141.38785067771425,141.31270226537217
2025-05-14,141.86517764668798,141.78802588996763
2025-05-15,141.00508848561265,140.92839805825244
2025-05-16,140.45571216283156,140.38228155339806
2025-05-19,141.32030440851983,141.23179611650485
2025-05-20,141.83365605439727,141.74757281553397
2025-05-21,140.2710856937002,140.1901294498382
2025-05-22,137.13243571846715,137.05501618122977
2025-05-23,137.60075651821498,137.52022653721681
2025-05-26,135.57436844238305,135.49757281553397
2025-05-27,135.21862475795922,135.14360841423948
2025-05-28,139.63164767865987,139.5631067961165
2025-05-29,140.77543117035168,140.69579288025892
2025-05-30,139.23087314810644,139.1484627831715
2025-06-02,138.99671274823254,138.915857605178
2025-06-03,138.80758319448822,138.73381877022655
2025-06-04,140.75741883189986,140.67556634304208
2025-06-05,139.53257981717476,139.45186084142395
2025-06-06,139.8072679785653,139.73503236245955
