date,emaxis-sp_start_100,sbi-sp_start_100
2024-04-09,121.56375781450714,121.49169836658322
2024-04-10,121.62370471867774,121.51507944393384
2024-04-11,121.41817247580715,121.28127106442498
2024-04-12,122.38588678598956,122.21650611717136
2024-04-15,120.91290571208357,120.84171097233522
2024-04-16,120.20210670548943,120.06078954143318
2024-04-17,120.24492592275413,120.1356078236517
2024-04-18,119.29433929947761,119.15828783502118
2024-04-19,119.26864776911879,119.12087809055538
2024-04-22,118.25383231994519,118.152910173653
2024-04-23,119.32859467328937,119.21440182629861
2024-04-24,120.7630384516571,120.72012979141356
2024-04-25,121.31112443264539,121.15501440137673
2024-04-26,120.93431532071594,120.8323580016734
2024-04-30,123.45636721760727,123.34813965318216
2024-05-01,122.34734949045132,122.23053396600334
2024-05-02,120.51468699152178,120.43488308297432
2024-05-07,122.80979703691017,122.68412375508314
2024-05-08,123.65333561702492,123.52115949938569
2024-05-09,124.20998544146613,124.08230006924069
2024-05-10,124.90365676115441,124.83048779972918
2024-05-13,125.34897662070736,125.20925845225015
2024-05-14,125.62730153292799,125.52256206711971
2024-05-15,126.38520167851333,126.25204522315214
2024-05-16,125.77288687162797,125.67219987993307
2024-05-17,126.86905883360453,126.76642521084362
2024-05-20,127.29296908452514,127.22469090863784
2024-05-21,127.89243812623106,127.81856558782407
2024-05-22,128.08084268219577,128.02899329235132
2024-05-23,128.21786417744283,128.14122094729152
2024-05-24,127.46852787531044,127.38368080294416
2024-05-27,128.12366189946047,128.0102887718347
2024-05-28,128.17932688190461,128.07107957786954
2024-05-29,128.5903913676458,128.54337370158285
2024-05-30,127.81964545688105,127.82324287169686
2024-05-31,126.3595101481545,126.26140006639346
2024-06-03,127.74257086580458,127.71569023588418
2024-06-04,127.31866061488395,127.27612986764242
2024-06-05,126.56504239102509,126.48117970638602
2024-06-06,128.46621563757813,128.37970648219178
2024-06-07,128.46621563757813,128.37970648219178
2024-06-10,129.33116382632525,129.19336037251406
2024-06-11,129.9391967114841,129.876081393469
2024-06-12,130.18754817161943,130.07248130251304
2024-06-13,131.0310867517342,130.88613540132798
2024-06-14,131.6905026976107,131.48468555168634
2024-06-17,131.85321572321658,131.76993237306274
2024-06-18,133.0521538066284,132.99041447608718
2024-06-19,133.57883017898433,133.52349857308968
2024-06-20,133.7458251263167,133.6918409943857
2024-06-21,134.20399075104908,134.11269622524398
2024-06-24,134.65787445405496,134.4727619920695
2024-06-25,133.9813308212726,133.84615388410458
2024-06-26,134.69212982786672,134.58499000739099
2024-06-27,135.74976449430505,135.57166352368287
2024-06-28,136.11800976278155,136.02525241691723
2024-07-01,135.70694527704032,135.59036880292015
2024-07-02,136.47769118780508,136.30114707522193
2024-07-03,137.24415517684335,137.09142112596408
2024-07-04,137.82649653164341,137.59177191113278
2024-07-05,137.57386314978163,137.33458261924105
2024-07-08,137.99777340070221,137.8068762488686
2024-07-09,138.2932259998287,138.09212270201613
2024-07-10,138.914104650167,138.75614005495
2024-07-11,140.50269761068768,140.23848716233246
2024-07-12,137.0214952470669,136.79682292725317
2024-07-16,137.60383660186693,137.47954440721384
2024-07-17,138.5758328337758,138.34931286929242
2024-07-18,134.32388455939025,134.11269858451436
2024-07-19,134.6707202192344,134.50082073421794
2024-07-22,133.75438896976962,133.64508078242778
2024-07-23,134.51657103708143,134.3465076337587
2024-07-24,133.55742057035198,133.38321496125803
2024-07-25,128.36773143786934,128.26280273557836
2024-07-26,128.34632182923696,128.2581262737906
2024-07-29,129.45962147811937,129.37573167386506
2024-07-30,129.83643059004882,129.74047291162933
2024-07-31,127.81964545688105,127.68763222310464
2024-08-01,127.44283634495162,127.29951034244667
2024-08-02,125.61873768947504,125.48983068737924
2024-08-05,119.97516485398647,119.88309689496228
2024-08-06,116.00154149182154,115.91302428156934
2024-08-07,118.86186520510404,118.71872917169104
2024-08-08,117.2689903228569,117.22702952683603
2024-08-09,121.16982101567184,121.14566419083144
2024-08-13,121.50809283206303,121.45896747319185
2024-08-14,123.36644686135136,123.28735246922888
2024-08-15,124.06868202449259,123.9046078595954
2024-08-16,127.59270360537809,127.50993829438902
2024-08-19,126.8305215380663,126.7523979256839
2024-08-20,126.79198424252805,126.68693157967925
2024-08-21,125.81142416716622,125.74702096438057
2024-08-22,126.17966943564272,126.02759148996694
2024-08-23,125.79429648026034,125.74234442021628
2024-08-26,124.88224715252205,124.75567190686661
2024-08-27,125.61873768947504,125.56932590392975
2024-08-28,125.3147212468956,125.22796569145993
2024-08-29,124.79232679626617,124.73696687445823
2024-08-30,125.02355056949558,124.99415703697798
2024-09-02,127.55416630983987,127.41173902495811
2024-09-03,128.35916759441636,128.21136490613964
2024-09-04,124.15432045902202,124.12906376298218
2024-09-05,122.58713710713369,122.4549934206708
2024-09-06,121.75644429219834,121.68342409992611
2024-09-09,119.28577545602465,119.284546125712
2024-09-10,121.31112443264539,121.2485399350717
2024-09-11,120.65599040849533,120.56114195016158
2024-09-12,122.5700094202278,122.41290683800219
2024-09-13,122.36019525563073,122.3334118963016
2024-09-17,122.54003596814252,122.49707809807529
2024-09-18,123.31506380063372,123.29202778627588
2024-09-19,124.71097028346321,124.6387663325098
2024-09-20,126.05977562730153,126.02758993161206
2024-09-24,127.03605378093687,126.95347304573494
2024-09-25,126.9889526419457,126.95347304573494
2024-09-26,127.88387428277812,127.82324144584909
2024-09-27,129.22839770488997,129.14659929923522
2024-09-30,126.58217007793098,126.4624744953696
2024-10-01,128.34632182923696,128.23006832313578
2024-10-02,127.00179840712511,126.8880060165624
2024-10-03,129.84499443350174,129.7124150246455
2024-10-04,129.2797807656076,129.1185410008208
2024-10-07,132.02021067054895,131.84475116669756
2024-10-08,130.24749507579,130.1613283779559
2024-10-09,131.82324227113128,131.69978972291844
2024-10-10,133.80149010876082,133.6263732668591
2024-10-11,132.83805772030487,132.7004908253941
2024-10-15,135.62130684251093,135.52490001516597
2024-10-16,134.25537381176673,134.15010425868513
2024-10-17,135.19739659159032,135.0292247709194
2024-10-18,135.62130684251093,135.48748965453146
2024-10-21,135.53138648625503,135.37526130222594
2024-10-22,136.47340926607862,136.34322961810477
2024-10-23,136.9786760298022,136.8201991382778
2024-10-24,136.99580371670805,136.8435803421085
2024-10-25,136.7260426479404,136.59106698861063
2024-10-28,137.83934229682282,137.68996807483674
2024-10-29,137.74085809711397,137.65255908741048
2024-10-30,138.30178984328168,138.2090236870981
2024-10-31,138.14335873940223,138.0874425910508
2024-11-01,134.17829922069023,133.9864374876418
2024-11-05,134.69212982786672,134.60369290718174
2024-11-06,136.7260426479404,136.5910666295899
2024-11-07,141.82152950244068,141.60392599303987
2024-11-08,141.49182152950243,141.32335480615578
2024-11-11,142.05275327567014,141.95931414248412
2024-11-12,142.83634495161428,142.7121783299211
2024-11-13,143.48291513231138,143.3341094403522
2024-11-14,144.26222488652905,144.1430871540335
2024-11-15,144.39068253832318,144.20855406135712
2024-11-18,140.23721846364649,140.10754831678918
2024-11-19,140.9223259398818,140.7996221613793
2024-11-20,141.87291256315834,141.70212380349795
2024-11-21,142.08272672775541,141.9593131582013
2024-11-22,142.29682281407895,142.11362719038368
2024-11-25,142.5408923524878,142.33808287430443
2024-11-26,142.9648026034084,142.78232003095513
2024-11-27,142.51948274385543,142.31937834254197
2024-11-28,140.9565813136936,140.84170754747456
2024-11-29,139.9974308469641,139.88776835283355
2024-12-02,140.3100111329965,140.13560611314657
2024-12-03,140.42134109788472,140.28991923853022
2024-12-04,140.35711227198766,140.1917191008616
2024-12-05,141.74445491136422,141.59457137063666
2024-12-06,141.18352316519653,141.05681076397383
2024-12-09,141.34623619080241,141.14098218409293
2024-12-10,142.08272672775541,141.98736936900536
2024-12-11,141.96283291941424,141.87981677645573
2024-12-12,143.6285004710114,143.46036361053814
2024-12-13,143.43581399332018,143.30137366256673
2024-12-16,144.2879164168879,144.13373252641708
2024-12-17,145.1828380577203,145.0222060044684
2024-12-18,144.125203391282,143.9233045891357
2024-12-19,140.96514515714654,140.79026695619572
2024-12-20,143.5813993320202,143.46503846120163
2024-12-23,144.01815534812025,143.9560375127824
2024-12-24,145.74805172561446,145.611403823306
2024-12-25,147.28954354714398,147.0329613631837
2024-12-26,147.33664468613514,147.07972372621566
2024-12-27,147.9874967885587,147.77647420584316
