date,sbi-sp_start_100,rakuten-nasdaq_start_100
2024-05-23,115.1193100178808,116.88000000000001
2024-05-24,114.43875228568949,116.55
2024-05-27,115.00168337450793,117.48
2024-05-28,115.05629652392567,117.53
2024-05-29,115.48059538143175,118.27000000000001
2024-05-30,114.83364537076208,117.6
2024-05-31,113.43051946971516,115.71000000000001
2024-06-03,114.7370224017141,116.03000000000002
2024-06-04,114.34213084434388,115.9
2024-06-05,113.62796475956713,115.36999999999999
2024-06-06,115.3335602803959,118.09
2024-06-07,115.3335602803959,118.03999999999999
2024-06-10,116.06452939209022,118.83999999999999
2024-06-11,116.6778712370174,119.55
2024-06-12,116.85431268068074,120.30000000000001
2024-06-13,117.58528197968035,121.64999999999999
2024-06-14,118.12300652929035,122.66
2024-06-17,118.37926612334519,123.39
2024-06-18,119.47572092961816,125.07999999999998
2024-06-19,119.95463218842129,125.28999999999999
2024-06-20,120.10586739004547,125.44999999999999
2024-06-21,120.48395465529596,125.2
2024-06-24,120.80742997675449,125.49
2024-06-25,120.24449876299461,123.82
2024-06-26,120.9082532059463,125.42
2024-06-27,121.79465941909733,126.52000000000001
2024-06-28,122.20215390084877,126.99000000000001
2024-07-01,121.81146383865544,126.44
2024-07-02,122.45001171324408,127.64999999999999
2024-07-03,123.15997688115745,128.85999999999999
2024-07-04,123.60948123837923,129.88
2024-07-05,123.37842792385882,129.63
2024-07-08,123.80272633748896,130.64
2024-07-09,124.05898560073491,131.09
2024-07-10,124.6555244735859,131.67
2024-07-11,125.98723315364492,133.25
2024-07-12,122.8953162113324,128.16
2024-07-16,123.50865846862045,128.72
2024-07-17,124.29003970168193,128.88
2024-07-18,120.4839567748136,122.96000000000001
2024-07-19,120.83263734571992,123.66
2024-07-22,120.06385902382975,122.56
2024-07-23,120.69400578344617,123.8
2024-07-24,119.82860441623767,122.69000000000001
2024-07-25,115.2285364750259,116.31
2024-07-26,115.22433524258602,115.64000000000001
2024-07-29,116.22836783707604,116.55
2024-07-30,116.55604350081705,117.02
2024-07-31,114.71181568799797,114.16999999999999
2024-08-01,114.36313535879643,115.44000000000001
2024-08-02,112.73735817558659,112.55
2024-08-05,107.70038942450478,106.89999999999999
2024-08-06,104.13376178824498,103.39
2024-08-07,106.65434656710752,105.91999999999999
2024-08-08,105.31423576903529,104.10999999999999
2024-08-09,108.83465266062132,108.35999999999999
2024-08-13,109.11611757429264,108.89999999999999
2024-08-14,110.7586992325196,111.46000000000001
2024-08-15,111.31322816644509,111.75
2024-08-16,114.5521792937379,115.87
2024-08-19,113.87162135998841,115.07000000000001
2024-08-20,113.81280780627219,115.41999999999999
2024-08-21,112.96841237510822,114.49000000000001
2024-08-22,113.22047088585194,114.94
2024-08-23,112.96421106866303,113.69
2024-08-26,112.07780575653365,112.88
2024-08-27,112.80877496412165,112.72999999999999
2024-08-28,112.50210430938168,112.63000000000001
2024-08-29,112.0610015587213,111.52
2024-08-30,112.29205565539515,111.57
2024-09-02,114.46395918737731,114.14
2024-09-03,115.18232583812053,114.86000000000001
2024-09-04,111.51487451050446,109.92
2024-09-05,110.01092580997229,108.49
2024-09-06,109.3177645681918,108.13
2024-09-09,107.16266431889565,104.91
2024-09-10,108.92707401112011,106.83
2024-09-11,108.30953048261665,106.74
2024-09-12,109.97311613154093,109.61000000000001
2024-09-13,109.9016995899251,109.66
2024-09-17,110.04873377675545,109.08
2024-09-18,110.76289943654909,109.79
2024-09-19,111.97278030915841,110.84
2024-09-20,113.22046948585951,112.99999999999999
2024-09-24,114.05226291241719,113.84
2024-09-25,114.05226291241719,114.04
2024-09-26,114.83364408981119,115.21
2024-09-27,116.02252025208233,116.78
2024-09-30,113.61116040129717,113.92
2024-10-01,115.19912858468138,115.31
2024-10-02,113.99344874495767,113.53
2024-10-03,116.5308369001131,116.24000000000001
2024-10-04,115.997313281758,115.87
2024-10-07,118.44648171436216,118.67000000000002
2024-10-08,116.93413097760723,116.84
2024-10-09,118.3162514788167,118.93
2024-10-10,120.04705259519972,120.83
2024-10-11,119.21525977294336,120.02999999999999
2024-10-15,121.75264809132406,122.05999999999999
2024-10-16,120.51756122597664,120.09
2024-10-17,121.30734413925637,120.44999999999999
2024-10-18,121.71903942994308,120.94
2024-10-21,121.61821589801207,121.17
2024-10-22,122.487817762419,122.46
2024-10-23,122.91631689529726,123.10000000000001
2024-10-24,122.93732206469147,122.32000000000001
2024-10-25,122.71046951240517,122.83
2024-10-28,123.69769855462167,124.6
2024-10-29,123.66409112690135,124.18
2024-10-30,124.16400692520459,125.72000000000001
2024-10-31,124.05478108995256,124.99
2024-11-01,120.37052652772671,120.67000000000002
2024-11-05,120.92505548786096,121.41999999999999
2024-11-06,122.7104691898687,123.36
2024-11-07,127.21391395862427,128.22
2024-11-08,126.96185485378493,128.94
2024-11-11,127.53318700948262,129.06
2024-11-12,128.209543962805,129.58
2024-11-13,128.76827346282224,130.32
2024-11-14,129.4950415982464,130.78
2024-11-15,129.55385565623948,130.8
2024-11-18,125.86960051801022,125.64
2024-11-19,126.49134473803296,126.64999999999999
2024-11-20,127.30213275427515,127.89999999999999
2024-11-21,127.53318612522413,127.97
2024-11-22,127.67181852453785,127.94000000000001
2024-11-25,127.8734646714337,127.93
2024-11-26,128.27255775467324,128.1
2024-11-27,127.85666092339083,127.69
2024-11-28,126.52915334148867,125.69
2024-11-29,125.67215493711682,124.83999999999999
2024-12-02,125.89480703729737,125.52000000000001
2024-12-03,126.03343862196263,126.69999999999999
2024-12-04,125.94521773559603,126.98
2024-12-05,127.2055099675543,129.03
2024-12-06,126.72239743330364,128.36
2024-12-09,126.79801522230005,129.37
2024-12-10,127.55839122008436,129.75
2024-12-11,127.46176828990299,129.58
2024-12-12,128.88169748712323,132.45
2024-12-13,128.73886434588314,132.07999999999998
2024-12-16,129.48663760249298,133.88
2024-12-17,130.28482301860137,136.13
2024-12-18,129.29759368072263,135.08
2024-12-19,126.48294022340569,131.23
2024-12-20,128.88589727216382,133.16
2024-12-23,129.327000233565,133.23000000000002
2024-12-24,130.81414563522077,135.21
2024-12-25,132.0912422785308,137.0
2024-12-26,132.13325257722508,137.03
2024-12-27,132.75919818533148,137.5
2024-12-30,131.39388134972182,135.63
2025-01-06,130.38144682000257,134.32999999999998
2025-01-07,131.5451168786447,136.23000000000002
