date,fang_start_100,rakuten-nasdaq_start_100
2024-04-12,113.95056198946403,111.53999999999999
2024-04-15,112.57917972998912,109.96
2024-04-16,110.27790219037259,108.82000000000001
2024-04-17,110.4037366434193,109.11999999999999
2024-04-18,108.75082645509416,107.53999999999999
2024-04-19,108.2069656834517,107.13999999999999
2024-04-22,104.16959924925887,104.96000000000001
2024-04-23,105.01205024846973,106.06
2024-04-24,107.30692942606692,107.66
2024-04-25,108.49489197432125,108.47
2024-04-26,108.0662017190266,108.04
2024-04-30,113.07611918015654,111.03
2024-05-01,111.04997120737093,109.64
2024-05-02,109.33094461151278,107.61
2024-05-07,114.01241282231749,110.96
2024-05-08,114.02094397167659,111.55999999999999
2024-05-09,114.42830635357349,112.02000000000001
2024-05-10,114.1958325335381,112.25
2024-05-13,114.37925224475866,112.75999999999999
2024-05-14,115.24729669204683,113.27000000000001
2024-05-15,116.62934288822062,114.16999999999999
2024-05-16,116.22837886834303,113.97999999999999
2024-05-17,117.01537739671977,114.97
2024-05-20,117.19239874592104,115.13
2024-05-21,118.60643675219144,116.36
2024-05-22,119.36997461983066,116.49000000000001
2024-05-23,119.0095335594088,116.88000000000001
2024-05-24,118.42088425363106,116.55
2024-05-27,119.98635016102543,117.48
2024-05-28,120.03540426984026,117.53
2024-05-29,121.08900121568877,118.27000000000001
2024-05-30,120.87998805639091,117.6
2024-05-31,118.0284513831126,115.71000000000001
2024-06-03,117.3544905837439,116.03000000000002
2024-06-04,117.70213492012711,115.9
2024-06-05,117.11775118902894,115.36999999999999
2024-06-06,120.07379444195618,118.09
2024-06-07,120.05246656855846,118.03999999999999
2024-06-10,120.68163883379188,118.83999999999999
2024-06-11,121.1551176232218,119.55
2024-06-12,122.41346215368864,120.30000000000001
2024-06-13,124.30311173672872,121.64999999999999
2024-06-14,126.48282039797812,122.66
2024-06-17,127.55561242988462,123.39
2024-06-18,129.98059163520804,125.07999999999998
2024-06-19,129.66493910892146,125.28999999999999
2024-06-20,129.82703094674432,125.44999999999999
2024-06-21,129.00590782093118,125.2
2024-06-24,128.97604879817433,125.49
2024-06-25,126.6086548510248,123.82
2024-06-26,128.67319299592637,125.42
2024-06-27,131.70388380574573,126.52000000000001
2024-06-28,133.01341523236718,126.99000000000001
2024-07-01,131.8382494081515,126.44
2024-07-02,135.22085012903364,127.64999999999999
2024-07-03,137.41762108900122,128.85999999999999
2024-07-04,139.61652483630857,129.88
2024-07-05,139.35419199351634,129.63
2024-07-08,140.89406445283342,130.64
2024-07-09,141.077484164054,131.09
2024-07-10,141.92206795060466,131.67
2024-07-11,143.21240429116813,133.25
2024-07-12,135.94173224987736,128.16
2024-07-16,135.80949943481136,128.72
2024-07-17,135.63247808561007,128.88
2024-07-18,128.97391601083456,122.96000000000001
2024-07-19,129.8184997973852,123.66
2024-07-22,128.33621259624204,122.56
2024-07-23,130.3922195917845,123.8
2024-07-24,129.89314735427732,122.69000000000001
2024-07-25,120.75841917802377,116.31
2024-07-26,120.66884210975324,115.64000000000001
2024-07-29,121.15725041056156,116.55
2024-07-30,122.27269818926354,117.02
2024-07-31,118.8175826988291,114.16999999999999
2024-08-01,120.63258472497706,115.44000000000001
2024-08-02,117.31396762428818,112.55
2024-08-05,110.8516219847719,106.89999999999999
2024-08-06,106.11683409047284,103.39
2024-08-07,109.03448717128414,105.91999999999999
2024-08-08,107.00407362381897,104.10999999999999
