ÇÖÇlÇ`ÇwÇhÇr ÇrÇåÇâÇç ïƒçëäîéÆÅiÇrÅïÇoÇTÇOÇOÅj
äÓèÄì˙,äÓèÄâøäz(â~),äÓèÄâøäzÅiï™îzã‡çƒìäéëÅj(â~),ï™îzã‡Åiê≈à¯ëOÅj(â~),èÉéëéYëçäzÅiâ≠â~Åj
2024/06/05,29558,29558,,46390.55
2024/06/06,30002,30002,,47132.54
2024/06/07,30002,30002,,47176.88
2024/06/10,30204,30204,,47519.01
2024/06/11,30346,30346,,47776.91
2024/06/12,30404,30404,,48152.12
2024/06/13,30601,30601,,48497.11
2024/06/14,30755,30755,,48782.51
2024/06/17,30793,30793,,48918.03
2024/06/18,31073,31073,,49396.46
2024/06/19,31196,31196,,49719.56
2024/06/20,31235,31235,,49822.48
2024/06/21,31342,31342,,49992.23
2024/06/24,31448,31448,,50262.40
2024/06/25,31290,31290,,50054.18
2024/06/26,31456,31456,,50400.64
2024/06/27,31703,31703,,50865.42
2024/06/28,31789,31789,,51063.74
2024/07/01,31693,31693,,50963.32
2024/07/02,31873,31873,,51319.65
2024/07/03,32052,32052,,52112.56
2024/07/04,32188,32188,,52432.17
2024/07/05,32129,32129,,52393.01
2024/07/08,32228,32228,,52554.45
2024/07/09,32297,32297,,52800.09
2024/07/10,32442,32442,,53365.40
2024/07/11,32813,32813,,54037.30
2024/07/12,32000,32000,,52780.40
2024/07/16,32136,32136,,53061.52
2024/07/17,32363,32363,,53507.29
2024/07/18,31370,31370,,52056.03
2024/07/19,31451,31451,,52279.05
2024/07/22,31237,31237,,51956.60
2024/07/23,31415,31415,,52277.73
2024/07/24,31191,31191,,51953.83
2024/07/25,29979,29979,,49975.58
2024/07/26,29974,29974,,49981.45
2024/07/29,30234,30234,,50380.27
2024/07/30,30322,30322,,50544.83
2024/07/31,29851,29851,,49821.28
2024/08/01,29763,29763,,49703.87
2024/08/02,29337,29337,,49022.80
2024/08/05,28019,28019,,47171.83
2024/08/06,27091,27091,,45592.81
2024/08/07,27759,27759,,46490.79
2024/08/08,27387,27387,,45818.84
2024/08/09,28298,28298,,47411.49
2024/08/13,28377,28377,,47821.51
2024/08/14,28811,28811,,48604.59
2024/08/15,28975,28975,,49007.48
2024/08/16,29798,29798,,50454.85
2024/08/19,29620,29620,,50304.64
2024/08/20,29611,29611,,50365.08
2024/08/21,29382,29382,,50062.18
2024/08/22,29468,29468,,50254.21
2024/08/23,29378,29378,,50120.67
2024/08/26,29165,29165,,49764.68
2024/08/27,29337,29337,,50073.37
2024/08/28,29266,29266,,49997.25
2024/08/29,29144,29144,,49804.11
2024/08/30,29198,29198,,49916.23
2024/09/02,29789,29789,,50940.08
2024/09/03,29977,29977,,51267.03
2024/09/04,28995,28995,,49587.93
2024/09/05,28629,28629,,49420.73
2024/09/06,28435,28435,,49089.92
2024/09/09,27858,27858,,48128.87
2024/09/10,28331,28331,,48962.29
2024/09/11,28178,28178,,48970.33
2024/09/12,28625,28625,,49796.61
2024/09/13,28576,28576,,49730.22
2024/09/17,28618,28618,,49863.91
2024/09/18,28799,28799,,50192.34
2024/09/19,29125,29125,,50843.07
2024/09/20,29440,29440,,51414.13
2024/09/24,29668,29668,,51821.49
2024/09/25,29657,29657,,51846.24
2024/09/26,29866,29866,,52251.13
2024/09/27,30180,30180,,52841.40
2024/09/30,29562,29562,,51778.59
2024/10/01,29974,29974,,52535.82
2024/10/02,29660,29660,,52022.28
2024/10/03,30324,30324,,53591.69
2024/10/04,30192,30192,,53412.70
2024/10/07,30832,30832,,54598.38
2024/10/08,30418,30418,,53876.07
2024/10/09,30786,30786,,54601.01
2024/10/10,31248,31248,,55672.86
2024/10/11,31023,31023,,55292.45
2024/10/15,31673,31673,,56490.44
2024/10/16,31354,31354,,55935.91
2024/10/17,31574,31574,,56397.92
2024/10/18,31673,31673,,56636.43
2024/10/21,31652,31652,,56628.41
2024/10/22,31872,31872,,57051.97
2024/10/23,31990,31990,,57315.58
2024/10/24,31994,31994,,57333.71
2024/10/25,31931,31931,,57225.07
2024/10/28,32191,32191,,57695.74
2024/10/29,32168,32168,,57685.24
2024/10/30,32299,32299,,57964.49
2024/10/31,32262,32262,,57905.82
2024/11/01,31336,31336,,56251.36
2024/11/05,31456,31456,,56488.60
2024/11/06,31931,31931,,57743.83
2024/11/07,33121,33121,,60090.50
2024/11/08,33044,33044,,59998.05
2024/11/11,33175,33175,,60323.12
2024/11/12,33358,33358,,60900.94
2024/11/13,33509,33509,,61253.71
2024/11/14,33691,33691,,61622.70
2024/11/15,33721,33721,,61698.95
2024/11/18,32751,32751,,59944.26
2024/11/19,32911,32911,,60361.93
2024/11/20,33133,33133,,60852.45
2024/11/21,33182,33182,,60990.08
2024/11/22,33232,33232,,61144.26
2024/11/25,33289,33289,,61285.63
2024/11/26,33388,33388,,61496.10
2024/11/27,33284,33284,,61383.56
2024/11/28,32919,32919,,60740.07
2024/11/29,32695,32695,,60357.53
2024/12/02,32768,32768,,60492.89
2024/12/03,32794,32794,,60620.87
2024/12/04,32779,32779,,61027.46
2024/12/05,33103,33103,,61736.08
2024/12/06,32972,32972,,61521.61
2024/12/09,33010,33010,,61648.30
2024/12/10,33182,33182,,62000.02
2024/12/11,33154,33154,,62261.49
2024/12/12,33543,33543,,63058.88
2024/12/13,33498,33498,,63005.43
2024/12/16,33697,33697,,63412.85
2024/12/17,33906,33906,,63875.79
2024/12/18,33659,33659,,63497.37
2024/12/19,32921,32921,,62158.59
