date,rakuten-orcan_start_100,invesco_start_100
2024-01-29,114.74203950020154,115.710121953546
2024-01-30,114.78234582829505,115.4976723841332
2024-01-31,114.85288190245868,115.64763687191018
2024-02-01,112.96856106408706,114.02302118208634
2024-02-02,113.75453446191052,114.3854353733021
2024-02-05,116.02176541717049,115.7601103847836
2024-02-06,115.57839580814189,114.847825791661
2024-02-07,115.64893188230552,114.94780197249088
2024-02-08,116.50544135429261,115.8475892272931
2024-02-09,117.50302297460702,117.15977865180818
2024-02-13,118.1882305521967,117.69715189375707
2024-02-14,117.39218057234986,116.68489165403719
2024-02-15,118.38976219266424,117.3847256276171
2024-02-16,119.07496977025393,117.9470923711539
2024-02-19,118.80290205562274,118.12205154956452
2024-02-20,119.02458686013703,118.40948384370265
2024-02-21,118.47037484885128,118.2345255426597
2024-02-22,118.94397420395002,119.1343127465992
2024-02-26,120.85852478839179,120.58397003902112
2024-02-27,120.73760580411124,120.81246942720685
2024-02-28,120.81821846029828,120.35547209910456
2024-02-29,120.53607416364369,119.97464090717914
2024-03-01,120.76783555018137,120.29200022679962
2024-03-04,121.61426844014511,121.4344951515137
2024-03-05,121.77549375251915,121.8280206338815
2024-03-06,120.53607416364369,120.29199954864724
2024-03-07,120.53607416364369,120.13966657209882
2024-03-08,120.91898428053204,120.2539157908189
2024-03-11,119.43772672309552,118.80675611740902
2024-03-12,119.23619508262797,118.73059029412971
2024-03-13,120.8988311164853,120.29199966480518
2024-03-14,120.96936719064892,120.46972147094996
2024-03-15,121.19105199516325,120.36816670044716
2024-03-18,121.2515114873035,120.39355595784929
2024-03-19,121.73518742442565,119.66997623931587
2024-03-21,124.46594115276098,121.92957635376831
2024-03-22,125.50382910116889,124.21456587773625
2024-03-25,124.9093107617896,123.44020854761749
2024-03-26,124.71785570334542,123.10498320766679
2024-03-27,124.71785570334542,123.28548958244451
2024-03-28,125.36275695284161,123.67228794317026
2024-03-29,125.45344619105198,123.80122125024255
2024-04-01,125.37283353486497,123.83990046579775
2024-04-02,125.34260378879485,123.4788885799549
2024-04-03,124.54655380894802,122.34428058603804
2024-04-04,125.06045949214027,122.9631579059397
2024-04-05,123.38774687625957,121.71251069356259
2024-04-08,124.78839177750906,122.30560115267104
2024-04-09,125.24183796856106,122.74397255749048
2024-04-10,125.21160822249094,122.61503983383663
2024-04-11,124.92946392583634,122.12509588381899
2024-04-12,125.5844417573559,122.31849440691155
2024-04-15,124.17372027408302,121.13231325377043
2024-04-16,123.61950826279727,121.24835316457504
2024-04-17,123.12575574365174,120.71972853203043
2024-04-18,122.53123740427247,121.06784680600096
2024-04-19,122.53123740427247,121.15809925375945
2024-04-22,121.90648931882306,121.58357742039483
2024-04-23,122.98468359532447,122.57635961097064
2024-04-24,124.57678355501814,124.16145580527993
2024-04-25,124.9093107617896,124.25315524846492
2024-04-26,124.76823861346232,124.79025317987347
2024-04-30,127.40830310358726,127.20064680258449
2024-05-01,126.39056831922613,126.30984922496779
2024-05-02,124.82869810560257,124.85575382040959
2024-05-07,126.83393792825473,126.36224961187372
2024-05-08,127.55945183393793,127.6329458667257
2024-05-09,128.1640467553406,128.85124190123682
2024-05-10,128.84925433293026,129.3097410063685
2024-05-13,129.36316001612255,130.03023936608707
2024-05-14,129.81660620717452,130.60663741114908
2024-05-15,130.54212011285773,131.32713545675958
2024-05-16,129.9677549375252,130.73763683766398
2024-05-17,131.0862555421201,131.8642331239506
2024-05-20,131.62031438935912,132.07383264114344
2024-05-21,132.15437323659816,132.5585317202915
2024-05-22,132.01330108827085,131.73323423206884
2024-05-23,132.06368399838775,131.99523319230363
2024-05-24,131.4087061668682,131.38352900307288
