date,rakuten-vti_start_100,rakuten-nasdaq_start_100
2024-08-30,111.46268881606207,111.57
2024-09-02,113.65502693336347,114.14
2024-09-03,114.3707386898708,114.86000000000001
2024-09-04,110.56993257241874,109.92
2024-09-05,109.10460692356952,108.49
2024-09-06,108.35122612724601,108.13
2024-09-09,106.20785776170565,104.91
2024-09-10,107.90296455343353,106.83
2024-09-11,107.26259087655856,106.74
2024-09-12,108.88989339661732,109.61000000000001
2024-09-13,108.78442008513203,109.66
2024-09-17,109.15734357931217,109.08
2024-09-18,109.92579199156214,109.79
2024-09-19,111.21407315327532,110.84
2024-09-20,112.40441481146645,112.99999999999999
2024-09-24,113.21806607149585,113.84
2024-09-25,113.18039703167966,114.04
2024-09-26,113.81700380457302,115.21
2024-09-27,115.04878140656194,116.78
2024-09-30,112.68693261008778,113.92
2024-10-01,114.21629562662447,115.31
2024-10-02,113.04102158435983,113.53
2024-10-03,115.57238106000678,116.24000000000001
2024-10-04,115.0148792707274,115.87
2024-10-07,117.50856970655819,118.67000000000002
2024-10-08,115.9867404979847,116.84
2024-10-09,117.24488642784496,118.93
2024-10-10,118.98519606735225,120.83
2024-10-11,118.10750743963536,120.02999999999999
2024-10-15,120.79707688251027,122.05999999999999
2024-10-16,119.66323878404339,120.09
2024-10-17,120.55222812370512,120.44999999999999
2024-10-18,120.92138471390363,120.94
2024-10-21,120.8272121143632,121.17
2024-10-22,121.50525483105437,122.46
2024-10-23,121.87441142125289,123.10000000000001
2024-10-24,121.90077974912418,122.32000000000001
2024-10-25,121.72373526198817,122.83
2024-10-28,122.63909292952123,124.6
2024-10-29,122.71819791313519,124.18
2024-10-30,123.18529400685576,125.72000000000001
2024-10-31,123.14385806305796,124.99
2024-11-01,119.59543451237428,120.67000000000002
2024-11-05,120.18683843748823,121.41999999999999
2024-11-06,122.04768900440727,123.36
2024-11-07,126.91829585263872,128.22
2024-11-08,126.5679737823483,128.94
2024-11-11,127.16314461144384,129.06
2024-11-12,128.08980299092175,129.58
2024-11-13,128.53429766075263,130.32
2024-11-14,129.13700229781142,130.78
2024-11-15,129.0654311221607,130.8
2024-11-18,125.40023354804686,125.64
2024-11-19,126.01423889705052,126.64999999999999
2024-11-20,126.94466418051005,127.89999999999999
2024-11-21,127.1970467472784,127.97
2024-11-22,127.58127095340339,127.94000000000001
2024-11-25,127.98432967943647,127.93
2024-11-26,128.59833502844015,128.1
2024-11-27,127.93535992767544,127.69
2024-11-28,126.63954495799902,125.69
2024-11-29,125.78069085019024,124.83999999999999
2024-12-02,126.04437412890346,125.52000000000001
2024-12-03,126.06697555279315,126.69999999999999
2024-12-04,125.9464346253814,126.98
2024-12-05,127.26861792292914,129.03
2024-12-06,126.64707876596226,128.36
2024-12-09,126.82035634911666,129.37
2024-12-10,127.4305947941387,129.75
2024-12-11,127.22341507514973,129.58
2024-12-12,128.70380833992542,132.45
2024-12-13,128.4890948129732,132.07999999999998
2024-12-16,129.17843824160923,133.88
2024-12-17,129.9958564056202,136.13
2024-12-18,128.9109880589144,135.08
2024-12-19,125.89746487362036,131.23
2024-12-20,128.1613741665725,133.16
2024-12-23,128.609635740385,133.23000000000002
2024-12-24,129.90168380607977,135.21
2024-12-25,131.22386710362753,137.0
2024-12-26,131.2653030474253,137.03
2024-12-27,131.95841338004294,137.5
2024-12-30,130.53075677100992,135.63
2025-01-06,129.70203789505405,134.32999999999998
2025-01-07,130.83587599352094,136.23000000000002
2025-01-08,129.26884393716804,133.68
2025-01-09,129.66436885523788,134.02
2025-01-10,129.46472294421216,133.81
2025-01-14,127.23094888311297,130.79000000000002
2025-01-15,127.92782611971221,131.05
2025-01-16,128.94112329076734,132.71
2025-01-17,127.84495423211662,130.77
2025-01-20,129.71710551098053,133.65
2025-01-21,129.72840622292537,133.66
2025-01-22,130.5533581948996,133.97
2025-01-23,131.9923155158775,136.56
2025-01-24,132.54228349719367,136.71
2025-01-27,131.53652013410178,135.29
2025-01-28,129.31404678494744,130.88
2025-01-29,130.88484574528195,133.4
2025-01-30,129.55512863977097,132.29999999999998
2025-01-31,130.08626210117905,132.61
2025-02-03,130.44788488341433,133.51999999999998
2025-02-04,129.19350585753568,132.1
2025-02-05,129.05789731419745,132.66
2025-02-06,128.42505744528572,131.97
2025-02-07,127.63777451312765,131.53
2025-02-10,127.04637058801372,130.4
2025-02-12,128.88838663502466,132.77
2025-02-13,129.50992579199158,134.0
2025-02-14,129.41952009643273,134.43
2025-02-17,128.6397709722379,134.17
2025-02-18,128.4363581572306,133.95
2025-02-19,129.19727276151733,134.67
2025-02-20,128.5229969488078,133.84
2025-02-21,126.76008588541079,132.1
2025-02-25,124.08935096244397,128.14000000000001
2025-02-26,122.39424417071609,125.44
2025-02-27,122.69559648924549,125.98
2025-02-28,121.14739895280069,122.86999999999999
2025-03-03,123.74279579613517,125.61
2025-03-04,120.47689004407277,121.8
2025-03-05,119.45982596903606,121.85999999999999
2025-03-06,120.31868007684483,123.0
2025-03-07,117.1469469243229,118.63
2025-03-10,117.15448073228613,118.97
2025-03-11,113.42147888650318,113.89
2025-03-12,113.70022978114287,114.67
2025-03-13,114.4347760575583,116.14
2025-03-14,112.8639770972238,113.99
2025-03-17,115.65525294760238,117.21999999999998
2025-03-18,117.15448073228613,118.41
2025-03-19,116.01310882585602,116.57
2025-03-21,116.55554299920897,117.24000000000001
2025-03-24,117.18084906015747,118.28
2025-03-25,120.2621765171206,121.75
2025-03-26,119.86665159905074,121.78999999999999
2025-03-27,118.7629487324368,119.87
2025-03-28,118.63864090104343,119.57
2025-03-31,115.04878140656194,115.21999999999998
2025-04-01,115.87373337853617,115.44000000000001
2025-04-02,116.28055900855088,116.41
2025-04-03,115.62511771574941,115.71000000000001
2025-04-04,108.47176705465778,108.13
2025-04-07,101.93242174256977,101.39
2025-04-08,102.98338795344107,102.97
2025-04-09,99.7212491053603,99.33
2025-04-10,110.98052510641503,112.43
2025-04-11,103.98161750856971,105.25
2025-04-14,105.49591290917995,107.0
2025-04-15,106.76912645496665,107.91999999999999
2025-04-16,106.05718160244095,107.58000000000001
2025-04-17,103.55972426262854,104.02
2025-04-18,103.7217011338381,103.97000000000001
2025-04-21,102.83271179417636,103.08
2025-04-22,100.18834519908089,100.34
2025-04-23,103.5710249745734,103.81
2025-04-24,105.97054281086375,106.81
2025-04-25,108.31355708742984,109.91
2025-04-28,109.39842543413569,111.57999999999998
2025-04-30,109.37205710626436,111.36999999999999
2025-05-01,109.81655177609522,111.91
2025-05-02,112.76227068972011,115.46000000000001
2025-05-07,110.65657136399594,113.14999999999999
2025-05-08,111.58699664745546,114.07000000000001
2025-05-09,114.16732587486345,116.94
2025-05-12,114.14849135495537,117.04
2025-05-13,119.53516404866839,123.38
2025-05-14,119.88171921497721,124.85
2025-05-15,119.10573699476402,124.66999999999999
2025-05-16,118.6122725731721,123.76
