date,emaxis-sp_start_100,rakuten-vti_start_100
2023-11-24,104.35043247409436,103.81307940769327
2023-11-27,104.33758670891496,103.84663786232645
2023-11-28,103.18146784276783,102.7643777004069
2023-11-29,102.44069538408837,101.99672805067325
2023-11-30,102.44925922754132,102.12676706237677
2023-12-01,103.42981930290314,103.10835186039682
2023-12-04,103.00162713025607,102.94055958723101
2023-12-05,102.97165367817075,103.09157263308025
2023-12-06,102.9973452085296,102.96992323503503
2023-12-07,102.53489766207073,102.4707412223667
2023-12-08,100.61231480688532,100.55790930827635
2023-12-11,102.54346150552367,102.54205293846219
2023-12-12,103.28423396420314,103.30131297453752
2023-12-13,103.58396848505609,103.51524812282393
2023-12-14,102.73614798321486,102.86924787113554
2023-12-15,103.03588250406783,103.47749486136163
2023-12-18,102.80894065256487,103.12093628088425
2023-12-19,103.63535154577374,103.92214438525107
2023-12-20,105.2282264280209,105.65879441251731
2023-12-21,103.29707972938256,103.68723520281891
2023-12-22,103.53258542433845,103.95570283988422
2023-12-25,103.61394193714139,104.10671588573346
2023-12-26,103.65247923267961,104.14446914719578
2023-12-27,104.47032628243555,105.03796300180377
2023-12-28,103.93080414490024,104.53878098913545
2023-12-29,103.96934144043848,104.47585888669826
2024-01-04,103.42553738117668,103.54880657745711
2024-01-05,104.23053866575319,104.42132639791937
2024-01-09,105.12974222831207,105.31062544569822
2024-01-10,105.50226941851504,105.62943076471329
2024-01-11,106.80825554508864,106.87528839296951
2024-01-12,106.49567525905626,106.56487268761275
2024-01-15,106.46998372869744,106.47258693737155
2024-01-16,107.01378778795925,107.00952221150214
2024-01-17,107.73315063800635,107.62615881538655
2024-01-18,107.72886871627986,107.57162632660766
2024-01-19,108.62807227883874,108.4693149880448
2024-01-22,109.98115954440352,109.79487394605478
2024-01-23,110.18240986554765,110.23532866311507
2024-01-24,110.52068168193885,110.44926381140148
2024-01-25,110.38366018669178,110.2017702084819
2024-01-26,110.8503896548771,110.69256260749192
2024-01-29,111.18866147126832,111.00717311967784
2024-01-30,111.37278410550655,111.35953689332607
2024-01-31,111.44129485313007,111.3343680523512
2024-02-01,109.12905712083582,108.94332815973824
2024-02-02,110.2209471610859,110.1388481060447
2024-02-05,113.13265393508607,112.79416082889382
2024-02-06,112.71730752761839,112.20269306598432
2024-02-07,112.37475378950073,111.97617349721045
2024-02-08,113.5094630470155,113.0668232727883
2024-02-09,114.6398903828038,114.39657703762742
2024-02-13,115.09377408580971,115.09291497126557
2024-02-14,114.51143273100968,114.2287847644616
2024-02-15,115.47914704119209,115.34040857418515
2024-02-16,116.00154149182154,116.04933092831075
2024-02-19,115.27789672004796,115.26490205126055
2024-02-20,115.54765778881561,115.5291748814967
2024-02-21,114.69127344352145,114.6356810268887
2024-02-22,115.13659330307442,114.95868115273291
2024-02-26,117.46595872227456,117.16095473803432
2024-02-27,117.26042647940396,117.03511053315995
2024-02-28,117.33750107048041,117.23646126095892
2024-02-29,117.28611800976279,117.1693443516926
2024-03-01,117.6372355913334,117.38747430680819
2024-03-04,118.40369958037166,118.28516296824532
2024-03-05,118.53643915389227,118.43198120726541
2024-03-06,117.04633039308041,116.88829229413986
2024-03-07,116.84508007193628,116.77922731658208
2024-03-08,117.14481459278925,117.00155207852679
2024-03-11,115.56906739744797,115.50820084735098
2024-03-12,115.45773743255974,115.34460338101431
2024-03-13,117.29468185321572,117.02252611267252
2024-03-14,117.19619765350689,116.99316246486848
2024-03-15,117.6072621392481,117.25743529510466
2024-03-18,117.41885758328338,117.1315910902303
2024-03-19,118.12965658987753,117.69369520533579
2024-03-21,121.07990065941594,120.77268341792859
2024-03-22,122.11612571722188,121.90947606862703
2024-03-25,121.82067311809539,121.3977096354713
2024-03-26,121.3667894150895,121.04534586182308
2024-03-27,121.22120407638948,121.0201770208482
2024-03-28,122.24030144728954,122.0437098871597
2024-03-29,122.28740258628072,122.03112546667225
2024-04-01,122.3045302731866,122.04790469398885
2024-04-02,122.3216579600925,122.2198917739838
2024-04-03,121.31540635437183,120.9656445320693
2024-04-04,121.56803973623363,121.26347581693864
